Numero_BP;Departamento;Municipio;Vereda;Predio;Organizacion;Id_Distrito;Nombre_Distrito;Escala_Distrito;Tipo_Distrito;Distrito_Operativo;Area_Bruta_HA;Area_Neta_Inicial_HA;Familias;Principales_Cultivos;Condición_Juridica;Propiedad_Distrito;Estado_Propiedad;Recursos_Construccion;Administrador_Distrito;Nombre_Fuente_Hidrica;Subzona_Hidrica;Corporacion_Autonoma_Regional;Concesión_Aguas;Numer_Consecion;Caudal_Consecion;Fecha_Consecion;Vigencia_Consecion;Observaciones
1;ANTIOQUIA;BETANIA;EL TABLAZO;;ASOTABLAZO;1;EL TABLAZO;Pequeña;Riego;1;125;125;33;Café, Tomate, Pepino, Pimentón, Maracuyá, Pan Coger, Fríjol, Maíz, Plátano, Yuca, Banano, Pastos, Cebolla;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Río El Pedral;Rio San Juan;CORANTIOQUIA;1;;;;;Programa Servicios Complementarios 2013.
2;ANTIOQUIA;CAICEDO;SAUCES ANACOSCA;;ASOANACOSCA;2;ANACOSCA;Pequeña;Riego;0;200;200;116;Maracuyá, Café, Plátano, Fríjol, Pastos, Maíz, Pancoger;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada Anacosca;Directos Rio Cauca entre Rio San Juan y Pto Valdia;CORANTIOQUIA;0;;;;;
3;ANTIOQUIA;CAÑAS GORDAS;BUENOS AIRES;;ASOBUENOS AIRES;3;BUENOS AIRES;Pequeña;Riego;1;111;111;78;Café, Fríjol, Maíz, Pasto, Tomate, Plátano;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada La Mina, Quebrada León;Rio Sucio;CORPOURABA;0;;;;;Programa Servicios Complementarios 2014.
4;ANTIOQUIA;CAÑAS GORDAS;EL PASO;;ASOMEMBRILLAL;4;MEMBRILLAL;Pequeña;Riego;0;73;73;23;Café, Plátano, Cacao, Flores, Hortalizas, Frutales, Mora, Tomate, Cebolla, Cilantro, Perejil, Lechuga Crespa, Espinaca, Col, Mostaza, Ajo, Aromáticas, Ají, Pimentón, Pastos, Granadilla;Público ;ADR;Legalizado;Públicos ;ADR;"Quebrada El León, Quebrada La Mina, 
Quebrada La Llorona";Rio Sucio;CORPOURABA;1;;;;;Programa Servicios Complementarios 2014, El Distrito no opera, construido en el ano 2005, se debe realizar verificacion del diseno hidraulico estudios, bocatoma y tramos de tuberia.
5;ANTIOQUIA;CISNEROS;SANTA BÁRBARA;;ASOSANTABARBARA;5;SANTA BÁRBARA;Pequeña;Riego;0;50;50;25;Maíz, Chócolo, Fríjol, Cacao, Café, Caña, Café, Hortalizas, Frutas, Aguacate, Plátano, Cebolla;Público ;ADR;Legalizado;Públicos ;ADR;Quebrada Encanto, Quebrada Guáimara;Rio Nare;CORANTIOQUIA;0;;;;;Funciona como acueducto, Se incluyo en acta de Agosto de 2014, Distrito que no opera como riego, estructura de bocatoma averiada y no tiene personeria juridica Informacion DTAD.
6;ANTIOQUIA;ENTRERRIOS;EL TORURO;;ASOTORURO;6;EL TORURO;Pequeña;Riego;1;102;102;34;Pastos, Papa, Frijol, Tomate de Árbol, Mora;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada La Sierra, Quebrada La Maya;Rio Porce;CORANTIOQUIA;1;;;;;Programa Servicios Complementarios 2013.
7;ANTIOQUIA;GIRALDO;EL TAMBO;;ASOELTAMBO;7;EL TAMBO;Pequeña;Riego;1;40;40;44;Cebolla, Cilantro, Café Maíz, Alverja, Ajo, Zanahoria, Repollo, Cebolla Junca, ;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada El Duende;Directos Rio Cauca entre Rio San Juan y Pto Valdia;CORANTIOQUIA;0;;;;;Programa Servicios Complementarios 2014.
8;ANTIOQUIA;GIRALDO;EL TOYO;;ASOTOYO;8;EL TOYO;Pequeña;Riego;1;27;27;23;Cebolla, Cilantro, Tomate, Café, Hortalizas, Maíz, Papa, Frijol, Pasto, Plátano, Frutales;Privado ;Asociación ;Propio;Otros;Asociación de Usuarios;Quebrada La Higuerina, Quebrada El Duende;Directos Rio Cauca entre Rio San Juan y Pto Valdia;CORANTIOQUIA;0;;;;;Programa Servicios Complementarios 2014.
9;ANTIOQUIA;GIRALDO;TRAVESÍAS;;ASORTRALOM;9;ORTRALOM - TRAVESÍAS;Pequeña;Riego;1;30;30;26;Cebolla, Café, Cilantro Zanahoria, Tomate;Privado ;Asociación ;Propio;Otros;Asociación de Usuarios;Quebrada La Mona, Quebrada El Tambo ;Directos Rio Cauca entre Rio San Juan y Pto Valdia;CORANTIOQUIA;0;;;;;Programa Servicios Complementarios 2014.
10;ANTIOQUIA;LIBORINA;PLAYÓN;;ASOENCENILLOS;10;ENCENILLOS;Pequeña;Riego;1;45;45;17;Pastos, Cebolla, Repollo, Durazno;Público ;ADR;Legalizado;Públicos ;ADR;Río Bamba ;Directos Rio Cauca  entre Rio San Juan y  Pto Valdivia;CORANTIOQUIA;0;;;;;
11;ANTIOQUIA;MEDELLÍN;EL LLANO, CORREGIMIENTO SAN CRISTÓBAL;;ASOLLANO;11;EL LLANO;Pequeña;Riego;1;150;150;100;Flores, Hortalizas, Frutales, Mora, Tomate, Cebolla, Cilantro, Perejil, Lechuga Crespa, Espinaca, Col, Mostaza, Ajo, Aromáticas, Ají, Pimentón, Acelga, Cebolla Junca;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada La Iguanal;Rio Porce;CORANTIOQUIA;1;130AN-7906;20;23/04/2008;;Programa Servicios Complementarios 2013.
12;ANTIOQUIA;MEDELLÍN;EL UVITO;;ASOUVITO;12;EL UVITO;Pequeña;Riego;1;113;113;45;Cebolla Junca y Cabezona, Cilantro, Tomare, Espinaca, Perejil, Col, Ajo, Apio, Mora, Lulo, Uchuva, Flores, Plátano, Yuca, Maíz, Papa, Alverja, Acelga, Habas, Zuquini, Habichuela, Pepino, Café, Legumbres y Hortalizas, Flores, Aromática;Privado ;Asociación ;Propio;Otros;Asociación de Usuarios;Quebrada El Uvito o Chupadero;Rio Porce;CORANTIOQUIA;1;;;;;No es legible la fecha de la Resolucion, Programa Servicios Complementarios 2013.
13;ANTIOQUIA;MEDELLÍN;LA ALDEA;;ASOALDEA;13;LA ALDEA;Pequeña;Riego;1;50;50;45;Caña, Café, Cebolla, Hortalizas, Tomate, Cilantro, Plátano, Pastos;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada La Capsula, Caño Mauricio, Quebrada La Cangreja;Rio Porce;CORANTIOQUIA;1;;;;;Programa Servicios Complementarios 2013.
14;ANTIOQUIA;MEDELLÍN;VOLCANA;;ASOVOLCANA;14;VOLCANA - GUAYABAL;Pequeña;Riego;0;130;130;89;Café, Plátano, Frutales, Hortaliza, Cebolla, Caña, Mora, Helecho, Legumbres, Tomate, Cilantro, Cebolla Junca;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada la Volcanita,  Quebrada La Copa, Nacimientos;Rio Porce;CORANTIOQUIA;0;;;;;
15;ANTIOQUIA;OLAYA;EL GUAYABO;;ASOGUAYABO;15;EL GUAYABO;Pequeña;Riego;1;27;27;60;Zapote, Papaya, Café, Plátano, Maíz, Fríjol;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada La Barbuda;Directos Rio Cauca  entre Rio San Juan y  Pto Valdivia;CORANTIOQUIA;0;;;;;Programa Servicios Complementarios 2014.
16;ANTIOQUIA;OLAYA;LLANADAS;;ASOLLANADAS;16;LLANADAS;Pequeña;Riego;1;130;130;62;Café, Plátano, Yuca, Maracuyá, Caña, Pastos, Tomate, Frutales, Cebolla Junca, Breva, Fríjol, Hortalizas, Mango, Papaya, Sandía, Maíz, Legumbres;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada La Trampa;Directos Rio Cauca  entre Rio San Juan y  Pto Valdivia;CORANTIOQUIA;1;;;;;Programa Servicios Complementarios 2013.
17;ANTIOQUIA;OLAYA;PIÑONES;;ASOPIÑONES;17;PIÑONES;Pequeña;Riego;1;50.2;50.2;48;Cebolla Junca, Breva, Café, Limón, Maracuyá, Estropajo, Plátano, Frutales, Maíz, Papa, Fríjol, Gulupa, Tomate de Árbol, Fresa, Mora, Granadilla, Uchuva;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada Montires, Nuarque;Directos Rio Cauca  entre Rio San Juan y  Pto Valdivia;CORANTIOQUIA;1;;;;;Programa Servicios Complementarios 2014.
18;ANTIOQUIA;OLAYA;QUEBRADA SECA;;ASOQUEBRADA SECA;18;QUEBRADA SECA;Pequeña;Riego;1;30;30;96;Papaya, Maracuyá, Naranja, Mango, Yuca, Sandía, Maíz, Tamarindo;Público ;ADR;Legalizado;Públicos ;ADR;Quebrada Seca;Directos Rio Cauca  entre Rio San Juan y  Pto Valdivia;CORANTIOQUIA;1;130HX-4614;2.3;13/03/2008;13/03/2018;"Mayo-2018: La UTT de la ADR reporta que el distrito esta en operación, se esta realizando rehabilitación desde 2017 mediante contrato 617. La Captación es compartido con el Acueducto veredal, despues del desaredador se dividen las conudciones una para el distrito y otra para el Acueducto. 
Programa Servicios Complementarios 2014, Distrito que no opera como riego, estructura de bocatoma averiada y tiene personeria juridica Informacion Direccion Territorial Informacion DTAD Base de Datos Ambiental."
19;ANTIOQUIA;OLAYA;SUCRE, TAHAMI;;ASOTAHAMI;19;TAHAMI;Pequeña;Riego;1;34;34;39;Papaya, Maracuyá, Zapote, Mango, Aguacate, Naranja, Hortalizas, Tamarindo;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada Tahami;Directos Rio Cauca  entre Rio San Juan y  Pto Valdivia;CORANTIOQUIA;0;;;;;Programa Servicios Complementarios 2014.
20;ANTIOQUIA;PEQUE;LLANO DEL PUEBLO;;ASOLLANO DEL PUEBLO;20;LLANO DEL PUEBLO;Pequeña;Riego;1;15;15;15;Café, Fríjol, Plátano, Granadilla, Pastos, Caña, Frutales;Público ;ADR;Legalizado;Públicos ;ADR;Quebrada El Termal;Directos Rio Cauca entre Rio San Juan y Pto Valdia;CORPOURABA;0;;;;;Tramite de Personeria Juridica ante al INCODER.
21;ANTIOQUIA;SABANALARGA;EL JUNCO, LA ERMITA Y MACHADO;;ASOJUNCO;21;EL JUNCO;Pequeña;Riego;1;200;200;67;Zapote, Papaya, Café, Cacao, Caña, Fríjol, Pastos, Papa, Tomate de Árbol, Mora;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada El Junca, La Peña;Directos Rio Cauca  entre Rio San Juan y  Pto Valdivia;CORANTIOQUIA;0;;;;;
22;ANTIOQUIA;SAN JERÓNIMO;ALTO COLORADO;;ASOALTOCOLORADO;22;ALTO COLORADO;Pequeña;Riego;1;29;29;29;Café, Plátano, Cebolla, Hortalizas, Frutales, Frijol, Yuca, Pastos Cebolla Junca, Cilantro, Ganadería, Alverja, Tomate;Privado ;Asociación ;Propio;Otros;Asociación de Usuarios;Quebrada La Clara;Directos Rio Cauca  entre Rio San Juan y  Pto Valdivia;CORANTIOQUIA;1;;;;;Programa Servicios Complementarios 2013.
23;ANTIOQUIA;SAN JERÓNIMO;EL CEDRAL, ALTO COLOMBIA;;ASOELCEDRAL;23;EL CEDRAL;Pequeña;Riego;1;50;50;27;Café, Verdura, Hortalizas, Frutas, Aguacate, Plátano, Cebolla Junca, Cilantro, Ganadería, Fríjol , Tomate;Privado ;Asociación ;Propio;Otros;Asociación de Usuarios;Quebrada La Clara;Directos Rio Cauca  entre Rio San Juan y  Pto Valdivia;CORANTIOQUIA;1;;;;;Programa Servicios Complementarios 2013.
24;ANTIOQUIA;SAN JERÓNIMO;CIÉNAGA;;ASOCIENAGA;24;LA CIÉNAGA;Pequeña;Riego;1;30;30;40;Café, Plátano, Hortalizas, Cebolla Junca, Cilantro, Pastos Yuca, Pancoger, Tomate, Pepino, Frutales, Cítricos, Caña, Frijol, Lulo;Privado ;Asociación ;Propio;Otros;Asociación de Usuarios;Quebrada Ramírez;Directos Rio Cauca  entre Rio San Juan y  Pto Valdivia;CORANTIOQUIA;1;;;;;Programa Servicios Complementarios 2013.
25;ANTIOQUIA;SAN JERÓNIMO;PALO BLANCO, ENCENILLO, GUAYABO;;ASOALTICOS;25;LOS ALTICOS;Pequeña;Riego;1;90;90;60;Café, Plátano, Caña, Frutales, Yuca, Tomate, Frijol, Cebolla Junca, Pastos, Hortalizas, Maíz, ;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebradas Arias, Corrucutú;Directos Rio Cauca  entre Rio San Juan y  Pto Valdivia;CORANTIOQUIA;1;;;;;Programa Servicios Complementarios 2013.
26;ANTIOQUIA;SAN JERÓNIMO;QUIMBAYO Y LOS ALTICOS;;ASOQUIMBAYO;26;QUIMBAYO;Pequeña;Riego;1;200;200;106;Zapote, Papaya, Plátano, Frutales, Café, Hortalizas, Yuca, Tomate, Pastos, Fríjol, Maíz, Arracacha, Aguacate, Uchuva, Granadilla, Yuca, Tomate de Árbol, Cebolla;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada Churimba, Quebrada La Grande;Directos Rio Cauca  entre Rio San Juan y  Pto Valdivia;CORANTIOQUIA;0;;;;;
27;ANTIOQUIA;SAN VICENTE;CORRIENTES;;ASOCORRIENTES;27;CORRIENTES;Pequeña;Riego;1;150;150;73;Pastos, Cebolla, Repollo, Fríjol, Papa, Tomate;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada Los Cachos, Quebrada La Magdalena;Rio Nare;CORNARE;0;;;;;
28;ANTIOQUIA;SAN VICENTE;LA MAGDALENA;;ASOMAGDALENA;28;LA MAGDALENA;Pequeña;Riego;1;96;96;48;Papa, Maíz, Fríjol, Gulupa, Tomate de Árbol, Fresa, Mora, Granadilla, Uchuva, Tomate;Privado ;Asociación ;Propio;Otros;Asociación de Usuarios;Quebrada La Magdalena, Quebrada San Gerbacio;Rio Nare;CORNARE;1;;;;;Programa Servicios Complementarios 2013.
29;ANTIOQUIA;SANTAFÉ DE ANTIOQUIA;EL PLAN;;ASOPLAN;29;EL PLAN;Pequeña;Riego;1;74;74;37;Maracuyá, Café, Plátano, Tomate, Fríjol, Maíz, Hortalizas;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada La Manzana;Directos Rio Cauca entre Rio San Juan y Pto Valdia;CORANTIOQUIA;1;;;;;Programa Servicios Complementarios 2014.
30;ANTIOQUIA;SANTAFÉ DE ANTIOQUIA;EL TUNAL;;ASOTUNAL;30;EL TUNAL;Pequeña;Riego;1;250;250;57;Ganadería Extensiva, Plátano, Café, Cacao, Papaya, Fríjol, Melón, Maíz, Maracuyá, Pastos, Caña, Pastos, Frutales, Yuca, Tomate, Tamarindo, Mango, Papaya;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada La Peña;Directos Rio Cauca entre Rio San Juan y Pto Valdia;CORANTIOQUIA;1;;;;;Programa Servicios Complementarios 2013.
31;ANTIOQUIA;SOPETRAN;SAN NICOLÁS;;ASOSANNICOLAS;31;CONSEJO COMUNITARIO SAN NICOLÁS;Pequeña;Riego;1;30;30;75;Vainilla;Privado ;Asociación ;Propio;Otros;Asociación de Usuarios;Quebrada La Cangreja;Directos Rio Cauca  entre Rio San Juan y  Pto Valdivia;CORANTIOQUIA;0;;;;;
32;ANTIOQUIA;SOPETRAN;LA PUERTA;;ASOPUERTA;32;LA PUERTA;Pequeña;Riego;1;60;60;22;Maíz, Yuca, Plátano, Maracuyá, Papaya, Guanábana, Sandía, Cítricos, Café, Tomate, Pastos, Piscicultura, Frutales, Mango;Privado ;Asociación ;Propio;Otros;Asociación de Usuarios;Quebrada La Sucia, Quebrada Vita, Quebrada Carracuchera;Directos Rio Cauca  entre Rio San Juan y  Pto Valdivia;CORANTIOQUIA;1;;;;;Programa Servicios Complementarios 2013.
33;ANTIOQUIA;SOPETRAN;LLANO DE MONTAÑA, CHAGUALAR Y EL PALMAR;;ASOMONTAÑA;33;LLANO DE MONTAÑA;Pequeña;Riego;1;126;126;132;Flores, Cacao, Mango, Maíz, Plátano, Yuca, Zapote, Papaya, Frutales, Pastos, Piscicultura, Banano, Ganadería, Fríjol, Papa, Aguacate, Café;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada La Sopetrana;Directos Rio Cauca  entre Rio San Juan y  Pto Valdivia;CORANTIOQUIA;1;;;;;Programa Servicios Complementarios 2013.
34;ANTIOQUIA;SOPETRAN;OTRABANDA;;ASOTRABANDA;34;OTRABANDA;Pequeña;Riego;1;84;84;46;Zapote, Papaya, Plátano;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada La Sopetrana;Directos Rio Cauca  entre Rio San Juan y  Pto Valdivia;CORANTIOQUIA;0;;;;;Distrito con Licencia Ambiental a nombre del INAT, donde en reuniones con la Corporacion se evidencio el incumplimiento en las obligaciones, este requerimiento se remitio a la Direccion Tecnica de Infraestructura en el 2014, para que se estudie y se tome las acciones pertinentes para subsanar este inconveniente, por lo anterior fue revocada la licencia a la asociacion.
35;ANTIOQUIA;SOPETRAN;SANTA RITA;;ASOSANTA RITA;35;SANTA RITA;Pequeña;Riego;1;100;100;69;Café, Mango, Papaya, Maracuyá, Mandarina, Zapote, Tomate;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebradas Vita, Carrachuchera;Directos Rio Cauca  entre Rio San Juan y  Pto Valdivia;CORANTIOQUIA;1;;;;;Se Ingreso por la Direccion Territorial a Cambio de SAN ISIDRO .
36;ANTIOQUIA;TÁMESIS;OTRABANDA, COLOSAL;;ASOTRABANDA;36;OTRABANDA;Pequeña;Riego;1;93;93;38;Frutales, Ganadería, Pancoger, Café, Piscicultura, Cítricos, Plátano;Público ;ADR;Legalizado;Públicos ;ADR;Quebrada Río Claro;Rio Frio y Otros Directos al Cauca;CORANTIOQUIA;0;;;;;
37;ANTIOQUIA;TÁMESIS;SAN ISIDRO;;ASOSANISIDRO;37;SAN ISIDRO;Pequeña;Riego;1;93;93;98;Cítricos, Café, Plátano, Aguacate, Cacao;Público ;ADR;Legalizado;Públicos ;ADR;;Rio Frio y Otros Directos al Cauca;CORANTIOQUIA;1;;;;;
38;ANTIOQUIA;URRAO;CHUSCAL;;ASOCHUSCAL ;38;EL CHUSCAL;Pequeña;Riego;1;258;258;90;Frijol, Granadilla, Lulo, Tomate, Tomate de Árbol, Maíz;Público ;Por definir;Sin transferir;Públicos ;Asociación de Usuarios;Río Urrao;Rio Murri;CORPOURABA;1;;;;;No tiene Personeria Juridica, Se Ingreso por la Direccion Territorial a Cambio de MEMBRILLAL.
39;ANTIOQUIA;URRAO;EL PASO;;ASOPASO;39;EL PASO;Pequeña;Riego;1;300;300;46;Legumbres, Fríjol, Tomate de Árbol, Pasto, Pancoger, Tomate, Granadilla;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Río Urrao;Rio Murri;CORPOURABA;0;;;;;
40;ANTIOQUIA;URRAO;GRANJA BONITA, LA VENTA, PALERMO, LA ARCILLAY EL SECTOR DEL SALADITO;;ASOGRANJA BONITA;40;GRANJA BONITA;Pequeña;Riego;1;300;300;75;Tomate, Fríjol, Granadilla, Aguacate, Maíz, Ganadería, Pastos, Lulo, Cilantro, Cebolla, Pancoger, Curuba, Tomate de Árbol;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada Manantiales;Rio Murri;CORPOURABA;1;;;;;Programa Servicios Complementarios 2013.
41;ANTIOQUIA;URRAO;GUAPANTAL;;ASOGUAPANTAL;41;GUAPANTAL;Pequeña;Riego;1;200;200;55;Fríjol, Tomate de Árbol, Tomate, Granadilla, Maíz, Papa, Alverja, Aguacate, Uchuva, Ganadería, Papa, Curuba, Fresa, Repollos, Hortalizas, Pastos Pancoger, Lulo;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Río Urrao, El Grillo;Rio Murri;CORPOURABA;1;;;;;Programa Servicios Complementarios 2013.
42;ANTIOQUIA;URRAO;LA HONDA;;ASOHONDA;42;LA HONDA;Pequeña;Riego;1;286;286;60;Fríjol, Café, Plátano, Maíz, Arracacha, Aguacate, Uchuva, Granadilla, Yuca, Tomate de Árbol, Tomate, Cebolla, Pastos, Legumbres, Papa, Maracuyá, Curuba ;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada La Honda;Rio Murri;CORPOURABA;1;;;;;Programa Servicios Complementarios 2013.
43;ATLÁNTICO;CANDELARIA;MIRADOR;;ASOSANTODOMINGO;43;COCO;Pequeña;Riego;0;1;1;30;Pastos, maíz y yuca;Público ;ADR;Legalizado;Públicos ;ADR;Arroyo Santo Domingo;Directos al Bajo Magdalena entre Calamar y desembocadura;CRA;0;;;;;"Mayo-2018: La ADR realizó visita verificnado que el distrito no esta operando y por consiguiente no esta cumpliendo con sus funciones, el Distrito ingresa el proceso para darlo de baja. 
Distritos para procedimiento de baja contable. Es un lago, lo utizaban para abrevadero,sus obras de contencion fueron afectadas por ola invernal 2010-2011; Los informes no viabilizan la rehabilitacion ya que este distrito no se construyo un sistema de riego Informacion DTAD - Reservorio.  Se remitieron a Secretaria General para dar tramite de baja contable, se recomienda hacer inventario de la infraestructura y verificar el predio del lago a nombre de quien se encuentra."
44;ATLÁNTICO;CANDELARIA;;;ASOLOMA;44;LOMA DEL CABALLO;Pequeña;Riego;0;1;1;20;Pastos , maíz y yuca;Público ;ADR;Legalizado;Públicos ;ADR;;Directos al Bajo Magdalena entre Calamar y desembocadura;CRA;0;;;;;"Mayo-2018: La ADR realizó visita verificnado que el distrito no esta operando y por consiguiente no esta cumpliendo con sus funciones, el Distrito ingresa el proceso para darlo de baja. 
Distritos para procedimiento de baja contable. El lago fue danado, por la ola invernal de 2010-2011; Los informes no viabilizan la rehabilitacion Informacion DTAD - se han realizado tres visitas tecnicas Beneficia a 20 ha, no existe infraestructura de riego, el lago esta seco, nunca funciono el distrito y se utilizo para abrevaderos se recomienda hacer inventario de la infraestructura y verificar el predio del lago a nombre de quien se encuentra."
45;ATLÁNTICO;CANDELARIA;LEÑA;;ASORIJATA;45;ORIJATA;Pequeña;Riego;0;20;20;14;Pastos, Ganadería.;Público ;ADR;Legalizado;Públicos ;ADR;;Directos al Bajo Magdalena entre Calamar y desembocadura;CRA;0;;;;;"Mayo-2018: La ADR realizó visita verificnado que el distrito no esta operando y por consiguiente no esta cumpliendo con sus funciones, el Distrito ingresa el proceso para darlo de baja. 
Distritos para procedimiento de baja contable. El vertedero fue danado por ola invernal de 2010-2011 y el embalse esta sedimentado, Los informes no viabilizan la rehabilitacion, no se evidencio infraestructura de riego y estos reservorios son de cosecha de agua Informacion DTAD - la Bomba la tiene un usuario, se han realizado tres visitas tecnicas Se remitieron a Secretaria General para dar tramite de baja contable se recomienda hacer inventario de la infraestructura y verificar el predio del lago a nombre de quien se encuentra."
46;ATLÁNTICO;CANDELARIA;SANTO DOMINGO, LEÑA;;ASOSANTODOMINGO1;46;SANTO DOMINGO;Pequeña;Riego;0;28;28;14;Pan Coger, Yuca, Guineo, Plátano, Millo, Frutales, Guanábana, Guayaba, Ciruela, Mango, Melón, Patilla, Limón, Pastos, Tomate, Ají, Melón;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Lago Santodomingo;Directos al Bajo Magdalena entre Calamar y desembocadura;CRA;1;;;;;Programa Servicios Complementarios 2013.
47;ATLÁNTICO;GALAPA;ALPES DE SEVILLA;;ASOALPES DE SEVILLA;47;ALPES DE SEVILLA;Pequeña;Riego;0;20;20;18;Hortalizas, Yuca, Maíz, Pastos;Público ;ADR;Legalizado;Públicos ;ADR;;Cienaga Mallorquin;CRA;0;;;;;"Mayo-2018: La ADR realizó visita verificnado que el distrito no esta operando y por consiguiente no esta cumpliendo con sus funciones, el Distrito ingresa el proceso para darlo de baja. 
Distritos para procedimiento de baja contable. No esta en funcionamiento. La parcela donde esta el lago fue vendida, Los informes no viabilizan la rehabilitacion Informacion DTAD - Reservorio, la Bomba no funciona, debido a los problemas entre el dueno del predio y los usuarios, la cultura de no pago del combustible y la asociacion no funciona. Se han realizado dos visitas tecnicas Se remitieron a Secretaria General para dar tramite de baja contable, se recomienda hacer inventario de la infraestructura y verificar el predio del lago a nombre de quien se encuentra."
48;ATLÁNTICO;MANATÍ;;;ASUDREMA;48;MANATÍ - CANDELARIA;Gran;Drenaje;1;22243;22243;1865;Yuca, Sorgo, Pancoger, Maíz, Papaya, Cítricos, Guayaba, Patilla, Tomate, Pastos, Ahuyama, Mango;Público ;ADR;Legalizado;Públicos ;ADR;Canal del Dique;Canal del Dique margen derecho;CRA;0;;;;;"El distrito esta administrado por el INCODER. La asociacion de usuarios esta inactiva por la morosidad de los usuarios. Los estatutos estan desactualizados; Programa Servicios Complementarios 2013. El distrito necesita mantenimiento. El Distrito funciona parcialmente y los usuarios siguen interesados en el programa."
49;ATLÁNTICO;PIOJO;;;ASOAGUAS VIVAS;49;AGUAS VIVAS;Pequeña;Riego;0;1;1;25;Yuca, ñame y maíz;Público ;ADR;Legalizado;Públicos ;ADR;;Arroyos Directos al Caribe;CRA;0;;;;;Distritos para procedimiento de baja contable. Es un lago, que en el invierno de 2010-2011 rompio el vertedero, Los informes no viabilizan la rehabilitacion Informacion DTAD - Reservorio esta seco, y la asociacion no funciona. Se han realizado dos visitas tecnicas. Se remitieron a Secretaria General para dar tramite de baja contable, se recomienda hacer inventario de la infraestructura y verificar el predio del lago a nombre de quien se encuentra.
50;ATLÁNTICO;PIOJO;;;ASOBONGUITO;50;BONGUITO;Pequeña;Riego;0;1;1;20;Yuca, ñame y maíz;Público ;ADR;Legalizado;Públicos ;ADR;;Arroyos Directos al Caribe;CRA;0;;;;;Distritos para procedimiento de baja contable, Los informes no viabilizan la rehabilitacion, no se evidencio infraestructura de riego y estos reservorios son de cosecha de agua Informacion DTAD - los usuarios no estan interesados en operar el distrito, se han realizado tres visitas tecnicas Se remitieron a Secretaria General para dar tramite de baja contable se recomienda hacer inventario de la infraestructura y verificar el predio del lago a nombre de quien se encuentra.
51;ATLÁNTICO;PIOJO;CERRITO, GUAYBANA;;ASOGUAYBANA;51;GUAIBANA;Pequeña;Riego;0;20;20;20;Yuca, ñame y maíz;Público ;ADR;Legalizado;Públicos ;ADR;Lago el Jumbo;Arroyos Directos al Caribe;CRA;0;;;;;"El lago fue danado, por la ola invernal de 2010-2011. Este proyecto requiere estudios y disenos, Programa Servicios Complementarios 2013. La Asociacion cuenta con proyectos prodcutivos; Los informes no viabilizan la rehabilitacion Informacion DTAD - Reservorio esta seco, y la asociacion no funciona. Se han realizado dos visitas tecnicas. Se remitieron a Secretaria General para dar tramite de baja contable, se recomienda hacer inventario de la infraestructura y verificar el predio del lago a nombre de quien se encuentra."
52;ATLÁNTICO;PIOJO;;;ASOVOLADOR;52;VOLADOR;Pequeña;Riego;0;100;100;40;Pan Coger, Yuca, Guineo, Plátano, Millo, Frutales, Guanábana, Guayaba, Ciruela, Mango, Melón, Patilla, Limón, Guandú, Pastos;Privado ;Asociación ;Propio;Otros;Asociación de Usuarios;;Arroyos Directos al Caribe;CRA;0;;;;;Programa Servicios Complementarios 2013.
