Numero_BP;Departamento;Municipio;Vereda;Predio;Organizacion;Id_Distrito;Nombre_Distrito;Escala_Distrito;Tipo_Distrito;Distrito_Operativo;Area_Bruta_HA;Area_Neta_Inicial_HA;Familias;Principales_Cultivos;Condición_Juridica;Propiedad_Distrito;Estado_Propiedad;Recursos_Construccion;Administrador_Distrito;Nombre_Fuente_Hidrica;Subzona_Hidrica;Corporacion_Autonoma_Regional;Concesión_Aguas;Numer_Consecion;Caudal_Consecion;Fecha_Consecion;Vigencia_Consecion;Observaciones
400;LA GUAJIRA;SAN JUAN DEL CESAR;LOS HATICOS;;ASOHATICOS;400;LOS HATICOS;Pequeña;Riego;0;60;60;50;Yuca, Maíz, Frijol, Tomate, Patilla, Melón, Pasto, Plátano;Público ;ADR;Legalizado;Públicos ;ADR;;Alto Cesar;CORPOGUAJIRA;1;;;;;Mayo-2018: La ADR realizó visita verificnado que el distrito no esta operando y por consiguiente no esta cumpliendo con sus funciones, el Distrito ingresa el proceso para darlo de baja. 
401;LA GUAJIRA;SAN JUAN DEL CESAR;LOS PONDORES;;ASOLOSPONDORES;401;LOS PONDORES;Pequeña;Riego;0;60;60;22;Yuca, Maíz, Frijol, Tomate, Patilla, Melón, Pasto, Plátano, Ganadería Extensiva;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;;Alto Cesar;CORPOGUAJIRA;1;;;;;
402;LA GUAJIRA;SAN JUAN DEL CESAR;MAROCAZO;;ASOMAROCAZO;402;MAROCAZO;Pequeña;Riego;1;18;18;18;Yuca, Maíz, Frijol, Tomate, Patilla, Melón, Pasto, Plátano, Pancoger, Cacao, Café, Frutales, Mandarina;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Arroyo Marocazo;Alto Cesar;CORPOGUAJIRA;1;;;;;
403;LA GUAJIRA;SAN JUAN DEL CESAR;LOS HATICOS;;ASOPOZO N° 4;403;POZO No. 4;Pequeña;Riego;0;82;82;10;Yuca, Maíz, Frijol, Tomate, Patilla, Melón, Pasto, Plátano, Sorgo, Algodón;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;;Alto Cesar;CORPOGUAJIRA;1;;;;;
404;LA GUAJIRA;SAN JUAN DEL CESAR;ZAMBRANO, CORRAL DE PIEDRA;;ASOZAMBRANO;404;ZAMBRANO;Pequeña;Riego;1;68;68;58;Pancoger, Hortofrutícolas, Ganadería, Cría de Especies Menores, Café, Flores, Plátano, Maíz, Aromáticas;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Canal Zambrano;Alto Cesar;CORPOGUAJIRA;1;;;;;
405;LA GUAJIRA;URUMITA;MARQUEZOTE;;ASOMARQUEZOTE;405;MARQUEZOTE;Pequeña;Riego;1;70;70;62;Yuca, Maíz, Frijol, Tomate, Patilla, Melón, Pasto, Plátano, Cacao, Café, Aguacate;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Río Marquezote, Acequia;Alto Cesar;CORPOGUAJIRA;1;;;;;
406;LA GUAJIRA;URUMITA;EL PIÑAL;;ASOELPIÑAL;406;PIÑAL;Pequeña;Riego;1;30;30;16;Yuca, Maíz, Frijol, Tomate, Patilla, Melón, Pasto, Plátano, Cacao, Café, Aguacate, Habichuela, Repollo, Pancoger, Horticultura, Cría de Especies Menores;Privado ;Asociación ;Entregado;Públicos ;Asociación de Usuarios;Quebrada El Paraíso, Quebrada Vira Vira;Medio Cesar;CORPOGUAJIRA;1;;;;;
407;LA GUAJIRA;VILLANUEVA;EL ENEAL, LOS ZANJONES, LA SELVA, SANTA ROSA, LOS QUEMAOS, VILLA DURÁN, LA ESPERANZA, LA NOVEDAD;;ASOQUEMAOS;407;LOS QUEMAOS;Pequeña;Riego;0;428;428;76;;Privado ;Asociación ;Propio;Otros;Asociación de Usuarios;Río Los Quemados;Alto Cesar;CORPOGUAJIRA;0;;;;;
408;MAGDALENA;ARACATACA;ARACATACA;;USOARACATACA;408;ARACATACA;Gran;Riego y Drenaje;1;13513.97;10434;444;Palma Africana, Pastos, Banano, Arroz, Rastrojos, Pancoger, Cítricos, Yuca, Frutales, Cacao,;Público ;ADR;Legalizado;Públicos ;ADR delegada;Río Aracataca, Río Fundación;Cga Grande de Santa Marta;CORPAMAG;1;;;;;
409;MAGDALENA;CHIVOLO;PLAYÓN NUEVO;;ASOPLAYONUEVO;409;PLAYÓN NUEVO;Pequeña;Riego;1;100;100;35;;Privado ;Asociación ;Propio;Otros;Asociación de Usuarios;;Directos al Bajo Magdalena entre El Plato y Calamar;CORPAMAG;0;;;;;
