HS;Descripción HS;ID_ADR;CADENA_PRODUCTIVA_ADR;ENA;ACTIVOSPRODUCTIVO;ASISTENCIATECNICA;ADT
060319;Flores frescas y capullos, cortados, de una, para ramos o adornos (excepto rosas, claveles, ...;010407;CARTUCHO-ASTROMELIA;CARTUCHO-ASTROMELIA;;;
060319;Flores frescas y capullos, cortados, de una, para ramos o adornos (excepto rosas, claveles, ...;010408;CORDELINE CINTA;CORDELINE CINTA;;;
060319;Flores frescas y capullos, cortados, de una, para ramos o adornos (excepto rosas, claveles, ...;010304;EUCALIPTO BABY BLUE;EUCALIPTO BABY BLUE;;;
060319;Flores frescas y capullos, cortados, de una, para ramos o adornos (excepto rosas, claveles, ...;010409;FITOSPORUM;FITOSPORUM;;;
060319;Flores frescas y capullos, cortados, de una, para ramos o adornos (excepto rosas, claveles, ...;010410;FLOR DE SAFARI;FLOR DE SAFARI;;;
060319;Flores frescas y capullos, cortados, de una, para ramos o adornos (excepto rosas, claveles, ...;010411;GERBERAS;;;;
060319;Flores frescas y capullos, cortados, de una, para ramos o adornos (excepto rosas, claveles, ...;010412;GLADIOLO;GLADIOLO;;;
060319;Flores frescas y capullos, cortados, de una, para ramos o adornos (excepto rosas, claveles, ...;010413;HELECHO;HELECHO;;;
060319;Flores frescas y capullos, cortados, de una, para ramos o adornos (excepto rosas, claveles, ...;010414;HELECHO CUERO;HELECHO CUERO;;;
060319;Flores frescas y capullos, cortados, de una, para ramos o adornos (excepto rosas, claveles, ...;010415;HELICONIA;HELICONIA;;;
060319;Flores frescas y capullos, cortados, de una, para ramos o adornos (excepto rosas, claveles, ...;010416;HORTENSIA;HORTENSIA;;;
060319;Flores frescas y capullos, cortados, de una, para ramos o adornos (excepto rosas, claveles, ...;010417;LIMONIUM;LIMONIUM;;;
060319;Flores frescas y capullos, cortados, de una, para ramos o adornos (excepto rosas, claveles, ...;010418;MORERA;MORERA;;;
060319;Flores frescas y capullos, cortados, de una, para ramos o adornos (excepto rosas, claveles, ...;010419;PALMA ROBELINA;PALMA ROBELINA;;;
060319;Flores frescas y capullos, cortados, de una, para ramos o adornos (excepto rosas, claveles, ...;010420;POMPON Y CRISANTEMO;POMPON Y CRISANTEMO;;;
060319;Flores frescas y capullos, cortados, de una, para ramos o adornos (excepto rosas, claveles, ...;010421;PROTEA;PROTEA;;;
060319;Flores frescas y capullos, cortados, de una, para ramos o adornos (excepto rosas, claveles, ...;010422;STATICE;STATICE;;;
060319;Flores frescas y capullos, cortados, de una, para ramos o adornos (excepto rosas, claveles, ...;010423;TREE FERN;TREE FERN;;;
060319;Flores frescas y capullos, cortados, de una, para ramos o adornos (excepto rosas, claveles, ...;010304;EUCALIPTO BABY BLUE;;;;EUCALIPTO ORNAMENTAL
060319;Flores frescas y capullos, cortados, de una, para ramos o adornos (excepto rosas, claveles, ...;010410;FLOR DE SAFARI;;;;FLORES (ANTURIOS
060319;Flores frescas y capullos, cortados, de una, para ramos o adornos (excepto rosas, claveles, ...;010410;FLOR DE SAFARI;;;;FLORES EXÓTICAS
060319;Flores frescas y capullos, cortados, de una, para ramos o adornos (excepto rosas, claveles, ...;010412;GLADIOLO;;;;GLADIOLOS
060319;Flores frescas y capullos, cortados, de una, para ramos o adornos (excepto rosas, claveles, ...;010411;GERBERAS;;;;GÉRBERAS)
060319;Flores frescas y capullos, cortados, de una, para ramos o adornos (excepto rosas, claveles, ...;010413;HELECHO;;;;HELECHO
060319;Flores frescas y capullos, cortados, de una, para ramos o adornos (excepto rosas, claveles, ...;010414;HELECHO CUERO;;;;HELECHO CUERO
060319;Flores frescas y capullos, cortados, de una, para ramos o adornos (excepto rosas, claveles, ...;010416;HORTENSIA;;;;HORTICULTURA
070190;"Patatas ""papas"" frescas o refrigeradas (exc. las de siembra)";010501;PAPA;PAPA;;;
070190;"Patatas ""papas"" frescas o refrigeradas (exc. las de siembra)";010502;PAPA CHINA;PAPA CHINA;;;
070190;"Patatas ""papas"" frescas o refrigeradas (exc. las de siembra)";010503;PAPA CRIOLLA;PAPA CRIOLLA;;;
070190;"Patatas ""papas"" frescas o refrigeradas (exc. las de siembra)";010504;ULLUCO;ULLUCO;;;
