HS;Descripci¢n HS;ID_ADR;CADENA_PRODUCTIVA_ADR;ASISTENCIATECNICA
60319;Flores frescas y capullos, cortados, de una, para ramos o adornos (excepto rosas, claveles, ...;10419;PALMA ROBELINA;
60319;Flores frescas y capullos, cortados, de una, para ramos o adornos (excepto rosas, claveles, ...;10420;POMPON Y CRISANTEMO;
60319;Flores frescas y capullos, cortados, de una, para ramos o adornos (excepto rosas, claveles, ...;10421;PROTEA;
60319;Flores frescas y capullos, cortados, de una, para ramos o adornos (excepto rosas, claveles, ...;10422;STATICE;
60319;Flores frescas y capullos, cortados, de una, para ramos o adornos (excepto rosas, claveles, ...;10423;TREE FERN;
60319;Flores frescas y capullos, cortados, de una, para ramos o adornos (excepto rosas, claveles, ...;10304;EUCALIPTO BABY BLUE;
60319;Flores frescas y capullos, cortados, de una, para ramos o adornos (excepto rosas, claveles, ...;10410;FLOR DE SAFARI;
60319;Flores frescas y capullos, cortados, de una, para ramos o adornos (excepto rosas, claveles, ...;10410;FLOR DE SAFARI;
60319;Flores frescas y capullos, cortados, de una, para ramos o adornos (excepto rosas, claveles, ...;10412;GLADIOLO;
60319;Flores frescas y capullos, cortados, de una, para ramos o adornos (excepto rosas, claveles, ...;10411;GERBERAS;
60319;Flores frescas y capullos, cortados, de una, para ramos o adornos (excepto rosas, claveles, ...;10413;HELECHO;
60319;Flores frescas y capullos, cortados, de una, para ramos o adornos (excepto rosas, claveles, ...;10414;HELECHO CUERO;
60319;Flores frescas y capullos, cortados, de una, para ramos o adornos (excepto rosas, claveles, ...;10416;HORTENSIA;
70190;"Patatas ""papas"" frescas o refrigeradas (exc. las de siembra)";10501;PAPA;
70190;"Patatas ""papas"" frescas o refrigeradas (exc. las de siembra)";10502;PAPA CHINA;
70190;"Patatas ""papas"" frescas o refrigeradas (exc. las de siembra)";10503;PAPA CRIOLLA;
70190;"Patatas ""papas"" frescas o refrigeradas (exc. las de siembra)";10504;ULLUCO;
70190;"Patatas ""papas"" frescas o refrigeradas (exc. las de siembra)";10501;PAPA;
70190;"Patatas ""papas"" frescas o refrigeradas (exc. las de siembra)";10501;PAPA;
70190;"Patatas ""papas"" frescas o refrigeradas (exc. las de siembra)";10503;PAPA CRIOLLA;
70190;"Patatas ""papas"" frescas o refrigeradas (exc. las de siembra)";10504;ULLUCO;
70200;Tomates frescos o refrigerados;10601;TOMATE;
