,Id_Usuario,Sexo,Tipo_Poblacional,Discapacidad,Departamento,Municipio,Vereda,Predio,Cadena_Productiva,C1A1,C2A1,C3A1,C4A1,C5A1,C6A1,C7A1,C8A1,C9A1,C10A1,NA1,C1A2,C2A2,C3A2,C4A2,C5A2,C6A2,C7A2,NA2,C1A3,C2A3,C3A3,C4A3,C5A3,NA3,C1A4,C2A4,C3A4,C4A4,NA4,C1A5,C2A5,C3A5,C4A5,NA5,CLAS_GRAL,CADENA_PRODUCTIVA_ADR,ID_ADR,Tipo de proyecto
0,1,M,NINGUNA,NO,BOLIVAR,13838,CARABALI,PIE DE MONTE,MAIZ,4,4,3.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,2,4.0,4.0,3,1.0,4.0,1.0,3.0,2,4,4.0,4.0,4.0,4.0,4,4.0,3.0,3.0,3.0,3,3.0,3.0,3.0,3.0,3,2,MAIZ,12504.0,Asistencia Tecnica
3,4,M,NINGUNA,NO,BOLIVAR,13647,PATON,PATON,MAIZ,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2.0,1.0,1,1.0,2.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,MAIZ,12504.0,Asistencia Tecnica
8,9,M,NINGUNA,NO,BOLIVAR,13248,La Enea,Sin nombre,MAIZ,2,3,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1,1.0,1.0,1,2.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,2.0,1,1.0,1.0,1.0,1.0,1,1,MAIZ,12504.0,Asistencia Tecnica
10,11,M,NINGUNA,NO,BOLIVAR,13248,La Enea,Sin nombre,MAIZ,2,3,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,2.0,1,1.0,2.0,2.0,1.0,1,1.0,1.0,1.0,1.0,1,1,MAIZ,12504.0,Asistencia Tecnica
13,14,M,NINGUNA,NO,BOLIVAR,13780,PATICO,LAS PALMAS,MAIZ,4,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,MAIZ,12504.0,Asistencia Tecnica
17,18,M,NINGUNA,NO,BOLIVAR,13780,TALAIGUANUEVO,SAN MARTIN,MAIZ,4,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,MAIZ,12504.0,Asistencia Tecnica
21,22,M,NINGUNA,NO,BOLIVAR,13580,SANTA TERESA,NO HAY COMO DIOS,MAIZ,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,MAIZ,12504.0,Asistencia Tecnica
22,23,M,NINGUNA,NO,BOLIVAR,13580,SANTA TERESA,TIERRA BAJA,MAIZ,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,MAIZ,12504.0,Asistencia Tecnica
23,24,M,NINGUNA,NO,BOLIVAR,13580,POTOSI,CASA BLANCA,MAIZ,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,MAIZ,12504.0,Asistencia Tecnica
25,26,M,NINGUNA,NO,BOLIVAR,13657,SAN JOSE DEL PEÑON,CAÑADA D L VACAS,MAIZ,2,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,4.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,MAIZ,12504.0,Asistencia Tecnica
28,29,M,NINGUNA,NO,BOLIVAR,13836,BONANZA,BONANZA 2,MAIZ,2,1,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,2.0,1,1,1.0,1.0,1.0,2.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,2.0,1,1,MAIZ,12504.0,Asistencia Tecnica
32,33,M,NINGUNA,NO,BOLIVAR,13248,Tasajera,Sin nombre,MAIZ,2,3,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,4.0,2.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,2.0,1,2.0,2.0,2.0,1.0,1,1.0,1.0,1.0,1.0,1,1,MAIZ,12504.0,Asistencia Tecnica
33,34,M,NINGUNA,NO,BOLIVAR,13657,SAN AGUSTIN,LAS DELICIAS,MAIZ,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,4.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,MAIZ,12504.0,Asistencia Tecnica
37,38,M,NINGUNA,NO,BOLIVAR,13042,LA BONITA -SANTO DOMINGO,LA BONITA,MAIZ,3,2,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1,2.0,2.0,2,1.0,2.0,1.0,2.0,1,2,2.0,1.0,1.0,2.0,1,2.0,1.0,1.0,1.0,1,2.0,2.0,2.0,1.0,1,1,MAIZ,12504.0,Asistencia Tecnica
48,49,M,NINGUNA,NO,BOLIVAR,13836,LA GRANJA,LA LINEA,MAIZ,1,3,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,2.0,1,2.0,1.0,2.0,1.0,1,1.0,1.0,1.0,1.0,1,1,MAIZ,12504.0,Asistencia Tecnica
68,69,M,NINGUNA,NO,BOLIVAR,13473,BRASIL - CABECERA MUNICIPAL,EL TARRO,MAIZ,2,2,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1,1.0,1.0,1,1.0,2.0,1.0,1.0,1,2,2.0,2.0,2.0,2.0,2,2.0,1.0,1.0,1.0,1,2.0,2.0,2.0,1.0,1,1,MAIZ,12504.0,Asistencia Tecnica
71,72,M,NINGUNA,NO,BOLIVAR,13473,BRASIL - CABECERA MUNICIPAL,LAS DELICIAS,MAIZ,2,2,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,2,2.0,2.0,2.0,2.0,2,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,MAIZ,12504.0,Asistencia Tecnica
72,73,M,NINGUNA,NO,BOLIVAR,13580,VILLA ELVIRA,MI PRIMAVERA,MAIZ,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,MAIZ,12504.0,Asistencia Tecnica
76,77,M,NINGUNA,NO,BOLIVAR,13580,LOS CAIMANES,MARGARITA,MAIZ,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,MAIZ,12504.0,Asistencia Tecnica
78,79,M,NINGUNA,NO,BOLIVAR,13580,SANTA TERESA,SANTA ROSA,MAIZ,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,MAIZ,12504.0,Asistencia Tecnica
82,83,M,NINGUNA,NO,BOLIVAR,13657, SAN AGUSTIN,PLAYA DEL RIO,MAIZ,2,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,4.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,MAIZ,12504.0,Asistencia Tecnica
83,84,M,NINGUNA,NO,BOLIVAR,13248,La Enea,Sin nombre,MAIZ,2,3,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,2.0,1,2.0,2.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,MAIZ,12504.0,Asistencia Tecnica
84,85,M,NINGUNA,NO,BOLIVAR,13248,La Enea,Sin nombre,MAIZ,2,3,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,2.0,1,2.0,1.0,2.0,1.0,1,1.0,1.0,1.0,1.0,1,1,MAIZ,12504.0,Asistencia Tecnica
85,86,M,NINGUNA,NO,BOLIVAR,13248,La Enea,Sin nombre,MAIZ,2,3,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,2.0,1,2.0,2.0,1.0,1.0,1,2.0,2.0,2.0,1.0,1,1,MAIZ,12504.0,Asistencia Tecnica
89,90,M,NINGUNA,NO,BOLIVAR,13248,La Enea,Sin nombre,MAIZ,2,3,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1,1.0,2.0,2,1.0,1.0,1.0,1.0,1,1,1.0,1.0,2.0,1.0,1,2.0,2.0,2.0,1.0,1,2.0,2.0,2.0,4.0,2,1,MAIZ,12504.0,Asistencia Tecnica
90,91,M,NINGUNA,NO,BOLIVAR,13248,La Enea,Sin nombre,MAIZ,2,3,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,2.0,1,2.0,2.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,MAIZ,12504.0,Asistencia Tecnica
91,92,M,NINGUNA,SI,BOLIVAR,13248,Roble,Sin nombre,MAIZ,2,3,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1,4.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,2.0,1,2.0,2.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,MAIZ,12504.0,Asistencia Tecnica
92,93,M,NINGUNA,NO,BOLIVAR,13248,Roble,Sin nombre,MAIZ,2,3,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1,4.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,2.0,1,2.0,2.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,MAIZ,12504.0,Asistencia Tecnica
93,94,M,NINGUNA,NO,BOLIVAR,13248,La Enea,Sin nombre,MAIZ,2,3,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,2.0,1,2.0,2.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,MAIZ,12504.0,Asistencia Tecnica
94,95,M,NINGUNA,SI,BOLIVAR,13248,Roble,La Recortada,MAIZ,2,3,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,4.0,2.0,1,1.0,1.0,1.0,1.0,1,1,2.0,1.0,1.0,1.0,1,2.0,1.0,2.0,2.0,1,1.0,2.0,1.0,1.0,1,1,MAIZ,12504.0,Asistencia Tecnica
95,96,M,NINGUNA,NO,BOLIVAR,13248,Roble,Sin nombre,MAIZ,2,3,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1,4.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,2.0,1.0,1,2.0,2.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,MAIZ,12504.0,Asistencia Tecnica
118,119,M,NINGUNA,NO,BOLIVAR,13188,SAN JAVIER,BELLO HORIZONTE,MAIZ,4,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,MAIZ,12504.0,Asistencia Tecnica
123,124,M,NINGUNA,NO,BOLIVAR,13188,SAN JAVIER,EL PORVENIR,MAIZ,4,2,1.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,1,1.0,1.0,1,1.0,1.0,2.0,2.0,1,1,4.0,2.0,2.0,2.0,2,2.0,2.0,2.0,2.0,2,2.0,2.0,2.0,2.0,2,1,MAIZ,12504.0,Asistencia Tecnica
126,127,M,NINGUNA,NO,BOLIVAR,13188,SAN JAVIER,ELPORVENIR,MAIZ,4,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,MAIZ,12504.0,Asistencia Tecnica
127,128,M,NINGUNA,NO,BOLIVAR,13836,BONANZA,BONANZA 2,MAIZ,2,2,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,MAIZ,12504.0,Asistencia Tecnica
130,131,M,NINGUNA,NO,BOLIVAR,13780,PORVENIR ,VIDA TRANQUILA,MAIZ,2,2,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,MAIZ,12504.0,Asistencia Tecnica
131,132,M,NINGUNA,NO,BOLIVAR,13780,PEÑON DE DURAN,NO HAY COMO DIOS,MAIZ,4,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,MAIZ,12504.0,Asistencia Tecnica
132,133,M,NINGUNA,NO,BOLIVAR,13780,PATICO,VILLA BENIGNA,MAIZ,2,2,1.0,1.0,2.0,1.0,2.0,1.0,1.0,4.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,2,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,MAIZ,12504.0,Asistencia Tecnica
135,136,M,NINGUNA,NO,BOLIVAR,13780,PATICO,LA ESPERANZA,MAIZ,4,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,MAIZ,12504.0,Asistencia Tecnica
136,137,M,NINGUNA,NO,BOLIVAR,13780,PATICO,TOCAIMA,MAIZ,2,2,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1,1.0,4.0,1,1.0,1.0,1.0,1.0,1,2,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,MAIZ,12504.0,Asistencia Tecnica
138,139,M,NINGUNA,NO,BOLIVAR,13780,PATICO,EL CAMPANO,MAIZ,4,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,MAIZ,12504.0,Asistencia Tecnica
140,141,M,NINGUNA,NO,BOLIVAR,13188,CABECERA,LA ORIENTACION,MAIZ,4,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,MAIZ,12504.0,Asistencia Tecnica
147,148,M,NINGUNA,NO,BOLIVAR,13188,CABECERA,LA ANGOSTURA,MAIZ,4,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,MAIZ,12504.0,Asistencia Tecnica
149,150,M,NINGUNA,NO,BOLIVAR,13188,SAN JAVIER,EL PORVENIR,MAIZ,4,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,MAIZ,12504.0,Asistencia Tecnica
152,153,M,NINGUNA,NO,BOLIVAR,13188,SAN JAVIER,LA ESPERANZA,MAIZ,4,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,MAIZ,12504.0,Asistencia Tecnica
155,156,M,NINGUNA,NO,BOLIVAR,13780,TUPE,VILLA FLOR,MAIZ,4,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2.0,2.0,2,2.0,2.0,2.0,2.0,2,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,MAIZ,12504.0,Asistencia Tecnica
171,172,M,NINGUNA,SI,BOLIVAR,13647,GUAYABAL,GUAYABAL,MAIZ,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,3.0,1.0,1,1.0,2.0,1.0,1.0,1,1,1.0,1.0,1.0,2.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,2.0,1.0,1,1,MAIZ,12504.0,Asistencia Tecnica
172,173,M,NINGUNA,NO,BOLIVAR,13647,JOBO,JOBO,MAIZ,4,4,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,3.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,2.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,3.0,1.0,1,1,MAIZ,12504.0,Asistencia Tecnica
178,179,M,NINGUNA,NO,BOLIVAR,13647,JOBO,JOBO,MAIZ,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2.0,1.0,1,1.0,2.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,MAIZ,12504.0,Asistencia Tecnica
180,181,M,NINGUNA,SI,BOLIVAR,13647,LAS MARIANAS,LAS MARIANAS,MAIZ,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,2.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,MAIZ,12504.0,Asistencia Tecnica
181,182,M,NINGUNA,NO,BOLIVAR,13647,LAS PIEDRAS,TOTUMO,MAIZ,4,4,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1,4.0,1.0,1,1.0,2.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,2.0,1,2.0,2.0,1.0,2.0,1,1,MAIZ,12504.0,Asistencia Tecnica
227,228,M,NINGUNA,NO,BOLIVAR,13667,PAPAYAL,BELLA NANCY,MAIZ,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2.0,1.0,1,1.0,2.0,1.0,1.0,1,2,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,2.0,1,1,MAIZ,12504.0,Asistencia Tecnica
259,260,M,NINGUNA,NO,BOLIVAR,13838,LOS NISPEROS,LOS NISPEROS,MAIZ,4,3,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,MAIZ,12504.0,Asistencia Tecnica
260,261,M,NINGUNA,NO,BOLIVAR,13836,HONDURAS,FINCA LA LOMBANA,MAIZ,1,3,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,2.0,1,2.0,2.0,2.0,1.0,1,1.0,1.0,1.0,1.0,1,1,MAIZ,12504.0,Asistencia Tecnica
264,265,M,NINGUNA,NO,BOLIVAR,13838,TORTUGA,TORTUGA,MAIZ,4,3,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,MAIZ,12504.0,Asistencia Tecnica
266,267,M,NINGUNA,NO,BOLIVAR,13838,TORTUGA,TORTUGA,MAIZ,4,3,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,MAIZ,12504.0,Asistencia Tecnica
268,269,M,NINGUNA,NO,BOLIVAR,13838,TORTUGA,TORTUGA,MAIZ,4,3,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,MAIZ,12504.0,Asistencia Tecnica
269,270,M,NINGUNA,NO,BOLIVAR,13838,EL MOLINO,EL MOLINO,MAIZ,4,3,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,MAIZ,12504.0,Asistencia Tecnica
270,271,M,NINGUNA,NO,BOLIVAR,13838,VARIANTE KM 24,FINCA VIDAL,MAIZ,4,3,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,MAIZ,12504.0,Asistencia Tecnica
271,272,M,NINGUNA,NO,BOLIVAR,13838,SAN PABLO,SAN PABLO,MAIZ,3,3,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1,1.0,2.0,1,1.0,2.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,MAIZ,12504.0,Asistencia Tecnica
272,273,M,NINGUNA,NO,BOLIVAR,13838,EL MOLINO,EL MOLINO,MAIZ,4,3,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,MAIZ,12504.0,Asistencia Tecnica
273,274,M,NINGUNA,NO,BOLIVAR,13838,LOMA DE LA BURRA,LOMA DEL PREDIO,MAIZ,3,3,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1,1.0,2.0,1,1.0,2.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,MAIZ,12504.0,Asistencia Tecnica
274,275,M,NINGUNA,NO,BOLIVAR,13838,CACHENCHE,LOMA DE LA BURRA,MAIZ,3,3,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1,1.0,2.0,1,1.0,2.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,MAIZ,12504.0,Asistencia Tecnica
276,277,M,NINGUNA,NO,BOLIVAR,13838,TORTUGA,TORTUGA,MAIZ,4,3,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,MAIZ,12504.0,Asistencia Tecnica
277,278,M,NINGUNA,NO,BOLIVAR,13838,EL MOLINO,EL MOLINO,MAIZ,4,3,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,MAIZ,12504.0,Asistencia Tecnica
278,279,M,NINGUNA,NO,BOLIVAR,13838,MANGA DE LORENZO,GALICIA,MAIZ,4,4,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,MAIZ,12504.0,Asistencia Tecnica
279,280,M,NINGUNA,NO,BOLIVAR,13838,MOROTI,PAN DE AZUCAR,MAIZ,4,3,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,MAIZ,12504.0,Asistencia Tecnica
280,281,M,NINGUNA,NO,BOLIVAR,13838,EL MOLINO,EL MOLINO,MAIZ,4,3,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,MAIZ,12504.0,Asistencia Tecnica
283,284,M,NINGUNA,NO,BOLIVAR,13838,EL MOLINO,EL MOLINO,MAIZ,4,3,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,MAIZ,12504.0,Asistencia Tecnica
284,285,M,NINGUNA,NO,BOLIVAR,13838,EL BAJO,EL BAJO,MAIZ,3,3,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,MAIZ,12504.0,Asistencia Tecnica
