,Id_Usuario,Sexo,Tipo_Poblacional,Discapacidad,Departamento,Municipio,Vereda,Predio,Cadena_Productiva,C1A1,C2A1,C3A1,C4A1,C5A1,C6A1,C7A1,C8A1,C9A1,C10A1,NA1,C1A2,C2A2,C3A2,C4A2,C5A2,C6A2,C7A2,NA2,C1A3,C2A3,C3A3,C4A3,C5A3,NA3,C1A4,C2A4,C3A4,C4A4,NA4,C1A5,C2A5,C3A5,C4A5,NA5,CLAS_GRAL,CADENA_PRODUCTIVA_ADR,ID_ADR,Tipo de proyecto
11856,11857,F,NINGUNA,NO,CASANARE,85410,IQUIA,LA UNIÓN,GANADERIA,2,2,3.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1,1.0,1.0,2,1.0,3.0,1.0,1.0,1,1,2.0,2.0,1.0,1.0,1,2.0,2.0,2.0,1.0,1,1.0,1.0,1.0,1.0,1,1,GANADERIA,201.0,Asistencia Tecnica
11857,11858,M,NINGUNA,NO,CASANARE,85225,ALTO DE TAMURIA,EL CEDRITO,GANADERIA,2,2,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,2.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,GANADERIA,201.0,Asistencia Tecnica
11858,11859,M,NINGUNA,NO,CASANARE,85015,LA PALMA,BRASILIA,GANADERIA,2,1,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1,2.0,1.0,2,3.0,2.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,2.0,2.0,2.0,1.0,1,2.0,2.0,2.0,2.0,2,1,GANADERIA,201.0,Asistencia Tecnica
11859,11860,M,NINGUNA,NO,CASANARE,85001,LA ALEMANIA,LA TORMENTA,GANADERIA,3,4,3.0,4.0,3.0,3.0,1.0,2.0,2.0,3.0,2,1.0,1.0,2,1.0,2.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,3.0,3.0,3.0,2.0,2,4.0,3.0,2.0,2.0,2,1,GANADERIA,201.0,Asistencia Tecnica
11860,11861,M,NINGUNA,NO,CASANARE,85410,BENDICIONES,BUENA VISTA,GANADERIA,3,2,1.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,1,1.0,2.0,1,1.0,3.0,2.0,2.0,1,1,2.0,2.0,1.0,1.0,1,3.0,2.0,2.0,1.0,1,1.0,2.0,2.0,2.0,1,1,GANADERIA,201.0,Asistencia Tecnica
11861,11862,M,NINGUNA,NO,CASANARE,85410,YAGUAROS,ILUSIÓN - LA FORTUNA,GANADERIA,2,1,2.0,1.0,2.0,3.0,2.0,1.0,1.0,2.0,1,1.0,1.0,1,1.0,4.0,3.0,3.0,1,2,2.0,2.0,1.0,1.0,1,3.0,2.0,1.0,1.0,1,1.0,1.0,1.0,2.0,1,1,GANADERIA,201.0,Asistencia Tecnica
11862,11863,M,NINGUNA,NO,CASANARE,85230,LA ESMERALDA,EL TESORO,GANADERIA,2,1,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1,1.0,2.0,1,1.0,1.0,1.0,1.0,1,1,1.0,2.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,GANADERIA,201.0,Asistencia Tecnica
11863,11864,M,NINGUNA,NO,CASANARE,85300,SAN ANTONIO,LA VEGA,GANADERIA,2,1,2.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,1,4.0,2.0,3,1.0,3.0,1.0,1.0,1,1,2.0,2.0,1.0,2.0,1,2.0,2.0,2.0,1.0,1,1.0,2.0,2.0,1.0,1,1,GANADERIA,201.0,Asistencia Tecnica
11864,11865,M,NINGUNA,NO,CASANARE,85430,BELGICA,BELENCITO,GANADERIA,1,1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,2.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,2.0,2.0,2.0,1,1,GANADERIA,201.0,Asistencia Tecnica
11865,11866,M,NINGUNA,NO,CASANARE,85010,EL TRIUNFO,SANTA BÁRBARA,GANADERIA,2,1,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1,1.0,1.0,2,1.0,1.0,1.0,1.0,1,1,2.0,2.0,2.0,2.0,1,1.0,1.0,1.0,1.0,1,2.0,2.0,2.0,2.0,2,1,GANADERIA,201.0,Asistencia Tecnica
11866,11867,M,NINGUNA,NO,CASANARE,85010,CACHIZA,SANTA MARTHA,GANADERIA,2,1,2.0,2.0,2.0,3.0,1.0,1.0,1.0,4.0,1,4.0,4.0,2,2.0,2.0,1.0,1.0,2,1,2.0,3.0,2.0,2.0,1,3.0,2.0,3.0,2.0,2,2.0,2.0,2.0,3.0,2,1,GANADERIA,201.0,Asistencia Tecnica
11867,11868,M,NINGUNA,NO,CASANARE,85010,EAMERALDA,LA LUNA,GANADERIA,2,1,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1,1.0,1.0,1,2.0,1.0,1.0,1.0,1,1,2.0,1.0,2.0,1.0,1,3.0,1.0,2.0,2.0,1,1.0,2.0,2.0,1.0,1,1,GANADERIA,201.0,Asistencia Tecnica
11868,11869,F,NINGUNA,NO,CASANARE,85230,LA ESMERALDA,LOS COCOS,GANADERIA,1,1,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1,4.0,2.0,2,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,2.0,1.0,1.0,1.0,1,2.0,2.0,1.0,3.0,1,1,GANADERIA,201.0,Asistencia Tecnica
11869,11870,M,NINGUNA,NO,CASANARE,85430,EL MILAGRO,LOS GUARATAROS,GANADERIA,2,1,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,1.0,2.0,1.0,2.0,1,1,GANADERIA,201.0,Asistencia Tecnica
11870,11871,F,NINGUNA,NO,CASANARE,85015,BARRIALES,EL PIEDRON,GANADERIA,2,1,1.0,2.0,3.0,1.0,2.0,1.0,1.0,3.0,1,4.0,1.0,2,1.0,1.0,1.0,1.0,1,2,1.0,1.0,1.0,1.0,1,3.0,1.0,1.0,2.0,1,1.0,1.0,3.0,2.0,1,1,GANADERIA,201.0,Asistencia Tecnica
11871,11872,M,NINGUNA,NO,CASANARE,85001,LA UNION,CASSIS,GANADERIA,3,3,2.0,2.0,4.0,3.0,2.0,3.0,2.0,1.0,2,3.0,2.0,3,1.0,2.0,1.0,1.0,1,3,4.0,4.0,4.0,2.0,3,4.0,3.0,3.0,2.0,2,3.0,3.0,2.0,3.0,2,2,GANADERIA,201.0,Asistencia Tecnica
11872,11873,M,NINGUNA,NO,CASANARE,85279,COMOGO,ALTA GRACIA,GANADERIA,2,1,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1,1.0,2.0,1.0,1.0,1,1,1.0,2.0,1.0,1.0,1,3.0,2.0,1.0,1.0,1,2.0,2.0,2.0,2.0,2,1,GANADERIA,201.0,Asistencia Tecnica
11873,11874,F,NINGUNA,NO,CASANARE,85001,ALEMANIA,SANTA MARTHA,GANADERIA,2,3,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2,2.0,2.0,1,1.0,2.0,1.0,1.0,1,2,4.0,4.0,4.0,2.0,3,3.0,2.0,2.0,2.0,2,2.0,3.0,3.0,2.0,2,2,GANADERIA,201.0,Asistencia Tecnica
11874,11875,M,NINGUNA,NO,CASANARE,85300,PIÑALERA,SAN DIEGO,GANADERIA,2,1,2.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,1,1.0,2.0,2,1.0,3.0,1.0,1.0,1,2,2.0,3.0,2.0,2.0,2,2.0,2.0,2.0,2.0,2,2.0,1.0,1.0,2.0,1,1,GANADERIA,201.0,Asistencia Tecnica
11875,11876,M,NINGUNA,NO,CASANARE,85430,BELGICA,LAS PALMERAS,GANADERIA,2,1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2.0,2.0,1,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1,2.0,2.0,2.0,2.0,2,1,GANADERIA,201.0,Asistencia Tecnica
11876,11877,M,NINGUNA,NO,CASANARE,85263,CAFIFIES,LA LORENA,GANADERIA,1,1,1.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,1,1.0,1.0,2,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1,3.0,1.0,1.0,1.0,1,1.0,1.0,1.0,4.0,1,1,GANADERIA,201.0,Asistencia Tecnica
11877,11878,M,NINGUNA,NO,CASANARE,85010,SAN RAFAEL,SAN MIGUEL,GANADERIA,2,1,2.0,2.0,3.0,1.0,2.0,3.0,2.0,3.0,1,4.0,4.0,4,3.0,3.0,2.0,2.0,3,4,2.0,3.0,3.0,3.0,2,4.0,4.0,3.0,2.0,3,4.0,4.0,4.0,4.0,4,2,GANADERIA,201.0,Asistencia Tecnica
11878,11879,M,NINGUNA,NO,CASANARE,85225,TAMURIA,AGUA CLARA,GANADERIA,2,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1,1.0,1.0,1,1.0,1.0,1.0,1.0,1,2,2.0,3.0,1.0,2.0,1,2.0,2.0,3.0,2.0,2,1.0,1.0,1.0,1.0,1,1,GANADERIA,201.0,Asistencia Tecnica
11879,11880,M,NINGUNA,NO,CASANARE,85430,GUAMAL,LA PRIMAVERA,GANADERIA,2,1,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1,1.0,2.0,1,1.0,1.0,1.0,1.0,1,2,2.0,3.0,2.0,2.0,2,2.0,2.0,2.0,1.0,1,2.0,2.0,2.0,4.0,2,1,GANADERIA,201.0,Asistencia Tecnica
11881,11882,F,NINGUNA,NO,CASANARE,85001,TESORO DEL BUBUY,TAZMANIA,GANADERIA,1,3,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1,3.0,2.0,2,1.0,1.0,2.0,2.0,1,2,2.0,3.0,2.0,2.0,2,3.0,2.0,3.0,2.0,2,2.0,3.0,3.0,2.0,2,1,GANADERIA,201.0,Asistencia Tecnica
11882,11883,F,NINGUNA,NO,CASANARE,85010,EL GUAIMARO CHARTE,LA MARÍA,GANADERIA,3,1,3.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,1,1.0,1.0,1,1.0,2.0,4.0,4.0,1,2,2.0,3.0,2.0,2.0,2,3.0,2.0,2.0,2.0,2,1.0,1.0,1.0,2.0,1,1,GANADERIA,201.0,Asistencia Tecnica
