mes_anio_1|cultivo|valor_real_con_cov|promedio_ipc_con_cov_lower|promedio_ipc_con_cov_upper|valor_real_sin_cov|promedio_ipc_sin_cv_lower|promedio_ipc_sin_cv_upper|general_ipc_con_cov|promedio_inferior|promedio_superior|general_ipc_sin_cov|promedio_inferior_sin|promedio_superior_sin
2009-01-01|PLATANO|265.868116427741|-2.05922237106325|7.11199573884617|329.850321539588|-1.01317524973869|7.65492457356053|7.18|2.53323481660538|12.5441757482009|7.18|2.33727090694309|12.2937799987687
2009-01-01|YUCA|451.918663107103|0.920194452763451|7.96897442215995|408.273814004874|0.684847686217988|7.49041576163652|7.18|2.53323481660538|12.5441757482009|7.18|2.33727090694309|12.2937799987687
2009-01-01|ZANAHORIA|550.557273254114|1.38762922058873|9.85052192219264|569.509204402617|1.3088441733932|10.1935329799836|7.18|2.53323481660538|12.5441757482009|7.18|2.33727090694309|12.2937799987687
2009-01-01|NARANJA|411.165887345901|0.196729316885309|7.56757637678558|414.430480781537|0.577332677630059|8.03171403211738|7.18|2.53323481660538|12.5441757482009|7.18|2.33727090694309|12.2937799987687
2009-01-01|PAPA|310.863448893705|-1.02112000453572|7.27369511415403|385.853385376167|-0.113155947375456|7.99615151926826|7.18|2.53323481660538|12.5441757482009|7.18|2.33727090694309|12.2937799987687
2009-01-01|ARROZ|73.5162063093308|-0.916395917130914|2.5137405641971|65.4523325420952|-1.09740467530552|2.45206580336848|7.18|2.53323481660538|12.5441757482009|7.18|2.33727090694309|12.2937799987687
2009-01-01|TOMATE DE ARBOL|179.451071408833|-2.59506527844115|6.35430027920602|266.95439104033|-1.60305574348628|7.01628549723063|7.18|2.53323481660538|12.5441757482009|7.18|2.33727090694309|12.2937799987687
2009-01-01|TOMATE|541.460316132257|-1.30743816394336|11.4182575785075|486.310165818854|-1.36711139520446|11.56569285403|7.18|2.53323481660538|12.5441757482009|7.18|2.33727090694309|12.2937799987687
2009-01-01|BANANO|152.960839064944|-2.06092807868861|5.18417324259708|207.923510364259|-1.94796512248562|5.81877661163629|7.18|2.53323481660538|12.5441757482009|7.18|2.33727090694309|12.2937799987687
2009-01-01|LACTEO|38.1928859655137|-0.135164526720176|0.947808444703879|38.1928859655137|-0.136617119064457|0.927244317860362|7.18|2.53323481660538|12.5441757482009|7.18|2.33727090694309|12.2937799987687
2009-01-01|CAFE|83.9634465576368|0.0948104164759327|1.57325117242074|83.9634465576368|0.092829931553767|1.63670067592024|7.18|2.53323481660538|12.5441757482009|7.18|2.33727090694309|12.2937799987687
2009-01-01|ARVEJA|415.366019092281|0.556303713897859|7.7645635656754|415.366019092281|0.490995804433991|7.73642492529543|7.18|2.53323481660538|12.5441757482009|7.18|2.33727090694309|12.2937799987687
2009-01-01|FRIJOL|415.366019092281|0.782844766574624|7.97900576328105|415.366019092281|0.7835968231136|7.87901984239809|7.18|2.53323481660538|12.5441757482009|7.18|2.33727090694309|12.2937799987687
2009-01-01|MORA|267.626591378437|-1.38112860824701|6.64774649899324|299.463058890602|-1.20214722285095|7.19095887956898|7.18|2.53323481660538|12.5441757482009|7.18|2.33727090694309|12.2937799987687
2009-01-01|CEBOLLA|477.371202667735|0.102642764588361|9.07618575248647|579.117177828387|1.431404575305|10.4611557749907|7.18|2.53323481660538|12.5441757482009|7.18|2.33727090694309|12.2937799987687
2009-02-01|PAPA|0.173092053501179|-4.04920524447332|4.14224270275267|0.173092053501179|-3.54477401004965|4.86419598405079|6.47|1.92915291748594|11.6576381089358|6.47|2.12750969231206|12.082807965761
2009-02-01|ARROZ|-0.435140538633429|-0.977660586993843|2.47947714301638|-0.435140538633429|-1.18823209085934|2.46019452331253|6.47|1.92915291748594|11.6576381089358|6.47|2.12750969231206|12.082807965761
2009-02-01|TOMATE|0.173092053501179|-5.68195169472538|6.68693327316623|0.173092053501179|-5.69465639610396|6.23194124693982|6.47|1.92915291748594|11.6576381089358|6.47|2.12750969231206|12.082807965761
2009-02-01|CEBOLLA|0.173092053501179|-5.32166125668035|3.74341038382187|0.173092053501179|-3.92655363503978|4.81456165910352|6.47|1.92915291748594|11.6576381089358|6.47|2.12750969231206|12.082807965761
2009-02-01|NARANJA|3.30594679186229|0.462409059798756|7.95361415544303|3.30594679186229|0.0211590278027085|7.52753030507325|6.47|1.92915291748594|11.6576381089358|6.47|2.12750969231206|12.082807965761
2009-02-01|CAFE|0.0431778929188272|-0.165937892982569|1.30920529183324|0.0431778929188272|-0.172193394967784|1.39751685242031|6.47|1.92915291748594|11.6576381089358|6.47|2.12750969231206|12.082807965761
2009-02-01|LACTEO|0.907187718073959|-0.104948815122263|1.03591146073015|0.907187718073959|-0.137749721216099|1.00249474366772|6.47|1.92915291748594|11.6576381089358|6.47|2.12750969231206|12.082807965761
2009-02-01|TOMATE DE ARBOL|3.30594679186229|-0.431924867091423|8.55886538603639|3.30594679186229|1.03795855698636|9.31653960504451|6.47|1.92915291748594|11.6576381089358|6.47|2.12750969231206|12.082807965761
2009-02-01|YUCA|0.173092053501179|-2.97568777698559|4.02646937788849|0.173092053501179|-3.20188093877241|3.61663505679421|6.47|1.92915291748594|11.6576381089358|6.47|2.12750969231206|12.082807965761
2009-02-01|PLATANO|0.173092053501179|-4.95751830562942|3.81186333959174|0.173092053501179|-4.0231272909543|4.27754116706451|6.47|1.92915291748594|11.6576381089358|6.47|2.12750969231206|12.082807965761
