NIVEL;ID_ADR;CADENA_PRODUCTIVA_ADR
3;012405;CARDAMOMO
3;012406;ANIS
3;012407;CHILLANGUA
3;012408;CILANTRO
3;012409;CIMARRON
3;012410;PEREJIL
3;012411;ACHIN
3;012412;ACHIOTE
3;012413;ALBAHACA
3;012414;AMARANTO
3;012415;CALENDULA
3;012416;CHIRARAN
3;012417;COCCULUS
3;012418;ENELDO
3;012419;HIERBABUENA
3;012420;JENGIBRE
3;012421;LAUREL
3;012422;LIMONARIA
3;012423;MANZANILLA
3;012424;MEDICINALES
3;012425;MENTA
3;012426;MORINGA
3;012427;MOSTAZA
3;012428;OREGANO
3;012429;POLEO
3;012430;ROMERO
3;012431;RUSCUS
3;012432;SABILA
3;012433;TOMILLO
3;012434;RUDA
3;012435;FLOR DE JAMAICA
3;012436;QUINUA
3;012437;ACHIRA
3;012438;CHIA
3;012439;SAGU
3;012440;PALMITO
3;012441;COCO
3;012442;MACADAMIA
2;0125;CEREALES
3;012501;TRIGO
3;012502;CEBADA
3;0125023;AVENA
3;012504;MAIZ
3;012505;MAIZ FORRAJERO
3;012506;MAIZ TECNIFICADO
3;012507;MAIZ TRADICIONAL
3;012508;MILLO
3;012509;ARROZ
3;012510;ARROZ RIEGO
3;012511;ARROZ SECANO MANUAL
3;012512;ARROZ SECANO MECANIZADO
3;012513;SORGO
3;012514;CENTENO
2;0126;SEMILLAS Y FRUTOS OLEAGINOSOS, PLANTAS INDUSTRIALES
3;012601;SOYA
3;012602;MANI
3;012603;GIRASOL
3;012604;AGUAJE
3;012605;COROZO
3;012606;PALMA DE ACEITE
3;012607;SACHA INCHI
3;012608;HIGUERILLA
3;012609;AJONJOLI
2;0127;CAÑA DE AZÚCAR Y ENDULZANTES
3;012701;CAÑA AZUCARERA
3;012702;CAÑA FLECHA
3;012703;CAÑA MIEL
3;012704;CAÑA PANELERA
3;012705;STEVIA
2;0128;MATERIAS TRENZABLES
3;012801;BAMBÚ, RATÁN, CAÑA, JUNCO, MIMBRE
3;012802;ESPARTO
3;012803;ESTROPAJO
3;012804;FIQUE
3;012805;IRACA
3;012806;JATROPHA
3;012807;MIMBRE
3;012808;PALMA AMARGA
2;0129;CACAO EN GRANO
3;012901;CACAO
2;0130;OTROS CULTIVOS INDUSTRIALES
3;013001;ALGODON
3;013002;CAUCHO
1;02;PECUARIO
2;0201;GANADERIA
3;020103;LACTEO
2;0202;AVICULTURA
2;0203;APICULTURA
1;03;AGROPECUARIO
1;04;AGRO-INDUSTRIA
1;05;AGROFORESTAL
1;06;ACUICULTURA
1;07;INFRAESTRUCTURA
1;08;MAQUINARIA
1;09;COMERCIALIZACION
