AP_Numero_BP;AP_ID_ADR;AP_CADENA_PRODUCTIVA_ADR;AP_Horizonte;AP_Activo_Productivo;AP_cantidad;AP_Departamento
89;1;AGRICOLA;10;Coco recolecto;100;ANTIOQUIA
183;1;AGRICOLA;12;No se han entregado activos;;ANTIOQUIA
348;1;AGRICOLA;4;Navaja para injertar;10;ANTIOQUIA
348;1;AGRICOLA;4;"Machete cornte 18""";10;ANTIOQUIA
348;1;AGRICOLA;4;Pala redondo N 2;10;ANTIOQUIA
348;1;AGRICOLA;4;Azadon herragro ;10;ANTIOQUIA
348;1;AGRICOLA;4;Fumigadora EST FS 5 5 C;1;ANTIOQUIA
348;1;AGRICOLA;4;Fumigadora clasica;4;ANTIOQUIA
348;1;AGRICOLA;4;Insumos agricolas (Micorrizas, abono organico, fertilizante) bulto;775;ANTIOQUIA
322;1;AGRICOLA;5;Monogafas de Trabajo;34;ANTIOQUIA
322;1;AGRICOLA;5;Bomba fumigadora de espalda;34;ANTIOQUIA
322;1;AGRICOLA;5;Azadon con cabo;102;ANTIOQUIA
322;1;AGRICOLA;5;Guadañadora;34;ANTIOQUIA
173;1;AGRICOLA;10;Tractor;1;ANTIOQUIA
173;1;AGRICOLA;10;Rastra de Disco;3;ANTIOQUIA
173;1;AGRICOLA;10;Boleadora;3;ANTIOQUIA
173;1;AGRICOLA;10;Sembradora;3;ANTIOQUIA
173;1;AGRICOLA;10;Cuchilla Frontal;2;ANTIOQUIA
173;1;AGRICOLA;10;Remolque Granelero;1;ANTIOQUIA
173;1;AGRICOLA;10;Remolque Quinta Rueda;2;ANTIOQUIA
145;1;AGRICOLA;10;"Machete 20"" con funda";68;ANTIOQUIA
145;1;AGRICOLA;10;Pulverisadora de mochila manual mediante piston royal condor activa;68;ANTIOQUIA
145;1;AGRICOLA;10;Modulo integrado beneficio del café;68;ANTIOQUIA
145;1;AGRICOLA;10;Bomba de aspersion con boquillas ;68;ANTIOQUIA
145;1;AGRICOLA;10;Gramera electronica (5000 gramos) ;68;ANTIOQUIA
145;1;AGRICOLA;10;Cocos para recoleccion de café;272;ANTIOQUIA
145;1;AGRICOLA;10;Lima;68;ANTIOQUIA
145;1;AGRICOLA;10;Tijera de podar ;68;ANTIOQUIA
346;1;AGRICOLA;12;No se han entregado activos;;ARAUCA
49;1;AGRICOLA;10;Estanques de geomembrana;37;ATLANTICO
49;1;AGRICOLA;10;Plántulas de mango de hilaza;30800;ATLANTICO
49;1;AGRICOLA;10;Kilos de semilla de frijol Caupi;1400;ATLANTICO
49;1;AGRICOLA;10;Kit de herramientas;140;ATLANTICO
49;1;AGRICOLA;10;Kit de insumos agricolas;140;ATLANTICO
124;1;AGRICOLA;8;Colinos de platano;318600;BOLIVAR
124;1;AGRICOLA;8;Rulas;200;BOLIVAR
124;1;AGRICOLA;8;Sable para desmanche;200;BOLIVAR
124;1;AGRICOLA;8;Deshojadora;200;BOLIVAR
124;1;AGRICOLA;8;Lima;200;BOLIVAR
124;1;AGRICOLA;8;Bomba de espalda;200;BOLIVAR
124;1;AGRICOLA;8;Palin;200;BOLIVAR
124;1;AGRICOLA;8;Ahoyadora;200;BOLIVAR
124;1;AGRICOLA;8;Kit de insumos agricolas (materia organica, elementos menores, urea, cal, fosforo) bulto;18400;BOLIVAR
148;1;AGRICOLA;6;No se han entregado activos;;BOLIVAR
