Código,Descripción del producto,Mes,value,YYYY,MM,CADENA_PRODUCTIVA_ADR
071350,"Habas ""Vicia faba var. major"", haba caballar ""Vicia faba var. equina"" y haba menor ""Vicia faba ...",201503,0,2015,03,HABA
071390,"Legumbres secas, legumbres sin cáscara, incluso mondadas o partidas (exc. ??guisantes, garbanzos, ...",201503,0,2015,03,GARBANZO
080119,"Cocos frescos, incluso sin cáscara o mondados (exc. ??en el interior de shell ""endocarpio"")",201503,0,2015,03,COCO
080261,"Nueces de macadamia, frescas o secas, con cáscara",201503,0,2015,03,MACADAMIA
080300,"Bananas o plátanos, frescos o secos",201503,0,2015,03,BANANITO
080410,"Dátiles, frescos o secos",201503,0,2015,03,DATIL
080540,"Toronjas o pomelos, frescos o secos",201503,0,2015,03,POMELO
080610,Uvas frescas,201503,1,2015,03,UVA
080711,"Sandías, frescas",201503,0,2015,03,PATILLA
080810,"Manzanas, frescas",201503,57,2015,03,MANZANA
080820,"Manzanas, peras y membrillos, frescos : Peras y membrillos",201503,0,2015,03,PERA
080920,"Albaricoques (damascos, chabacanos), cerezas, melocotones (duraznos) (incluidos los griñones ...",201503,0,2015,03,DURAZNO
081040,"Arándanos rojos, mirtilos y demás frutos del género ""Vaccinium"", frescos",201503,0,2015,03,AGRAZ
090411,"Pimienta del género ""Piper"" sin triturar ni pulverizar",201503,0,2015,03,PIMENTON
090500,Vainilla,201503,0,2015,03,VAINILLA
090810,"Nuez moscada, macis, amomos y cardamomos : Nuez moscada",201503,0,2015,03,CARDAMOMO
090910,"Semillas de anís, badiana, hinojo, cilantro, comino o alcaravea; bayas de enebro : Semillas ...",201503,0,2015,03,ANIS
091010,"Jengibre, azafrán, cúrcuma, tomillo, hojas de laurel, curri y demás especias : Jengibre",201503,0,2015,03,PEREJIL
100110,Trigo y morcajo (tranquillón) : Trigo duro,201503,0,2015,03,TRIGO
100300,Cebada,201503,0,2015,03,CEBADA
100400,Avena,201503,0,2015,03,AVENA
100610,"Arroz con cáscara o arroz ""paddy""",201503,0,2015,03,ARROZ
100700,Sorgo de grano (granífero),201503,0,2015,03,SORGO
100890,"Cereales (excepto el trigo y morcajo, centeno, cebada, avena, maíz, arroz, sorgo, trigo sarraceno, ...",201503,0,2015,03,CENTENO
120100,"Habas (porotos, frijoles, fréjoles) de soja (soya), incluso quebrantadas",201503,0,2015,03,SOYA
120210,"Cacahuetes (cacahuates, maníes) sin tostar ni cocer de otro modo, incluso sin cáscara o quebrantados ...",201503,0,2015,03,MANI
120600,"Semilla de girasol, incluso quebrantada",201503,1,2015,03,GIRASOL
120720,"Las demás semillas y frutos oleaginosos, incluso quebrantados : Semilla de algodón",201503,0,2015,03,AGUAJE
120730,Semilla de ricino,201503,0,2015,03,HIGUERILLA
121220,"Algarrobas, algas, remolacha azucarera y caña de azúcar, frescas, refrigeradas, congeladas ...",201503,0,2015,03,CAÑA AZUCARERA
121293,"Caña de azúcar, fresca, refrigerada, congelada o seca, incl. pulverizada",201503,0,2015,03,STEVIA
121490,"Nabos forrajeros, remolachas forrajeras, raíces forrajeras, heno, alfalfa, trébol, esparceta, ...",201503,1,2015,03,ALFALFA
090111,Café sin tostar ni descafeinar,201504,177275,2015,04,CAFE
060319,"Flores frescas y capullos, cortados, de una, para ramos o adornos (excepto rosas, claveles, ...",201504,52922,2015,04,ASTROMELIA
080390,Plátanos frescos o secos (plátanos excl.),201504,94071,2015,04,PLATANO
060312,"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos",201504,17400,2015,04,CLAVEL
060311,"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas",201504,28520,2015,04,ROSA
060314,"Crisantemos ""flores y capullos"", cortados para ramos o adornos, frescos",201504,11004,2015,04,CRISANTEMOS
080440,"Aguacates ""paltas"", frescos o secos",201504,2100,2015,04,AGUACATE
081090,"Tamarindos frescos, los anacardos, la jaca, litchis, sapotillos, maracuyá, carambola, pitahaya ...",201504,3267,2015,04,PITAHAYA
180310,"Pasta de cacao, sin desgrasar",201504,846,2015,04,CACAO
080430,"Piñas ""ananás"", frescas o secas",201504,434,2015,04,PIÑA
100510,Semillas de maíz para la siembra,201504,7565,2015,04,MAIZ
071340,"Lentejas secas desvainadas, aunque estén mondadas o partidas",201504,0,2015,04,LENTEJA
060315,"Lirios frescos cortados ""Lilium spp."" y las yemas, de una, para ramos o adornos",201504,0,2015,04,ANTURIO
081340,"Melocotones, incl. los griñones y nectarinas, peras, papayas, tamarindos y demás frutos comestibles, ...",201504,539,2015,04,ANON
080450,"Guayabas, mangos y mangostanes, frescos o secos",201504,78,2015,04,GUAYABA
080510,"Naranjas, frescas o secas",201504,334,2015,04,NARANJA
071410,"Raíces de mandioca ""yuca"", frescas, refrigeradas, congeladas o secas, incl. troceadas o en ...",201504,43,2015,04,BATATA
081010,"Fresas ""frutillas"", frescas",201504,20,2015,04,FRESA
