mes_anio|cadena_cultivo|promedio_exportaciones|promedio_exportaciones_superior|promedio_exportaciones_inferior|valor_real|mes_anio1
201503|ACELGA|1.33654467247307|1.98313529378166|0.651311681818774|4|2015-03-01
201503|ACHICORIA|17.7482148391586|31.2465439226548|4.79756732758615|9|2015-03-01
201503|AGRAZ|-15.6694886136304|20.7038335149044|-49.4768826334432|0|2015-03-01
201503|AGUACATE|2227.99443246546|3840.38850096575|619.95857150946|1123|2015-03-01
201503|AGUAJE|0|0|0|0|2015-03-01
201503|AHUYAMA|18.5685334504124|28.0487288493412|9.4626784071999|1|2015-03-01
201503|AJI|4.19413554830695|9.56670316007558|-1.04542508173343|3|2015-03-01
201503|AJO|94.0657245403202|122.230597467003|67.6954611007716|215|2015-03-01
201503|AJONJOLI|-10.7204582979551|8.32818940588476|-27.8419979040871|0|2015-03-01
201503|ALCACHOFA|0|0|0|0|2015-03-01
201503|ALFALFA|-1.29055493564036|16.4220305738841|-17.9261320004303|1|2015-03-01
201503|ANIS|0|0|0|0|2015-03-01
201503|ANON|442.207178099571|587.098263503265|291.402970792455|482|2015-03-01
201503|ANTURIO|369.102582433975|693.884374314024|40.3517460981355|0|2015-03-01
201503|APIO|-0.907725696446658|5.32945960509204|-7.93512460157557|0|2015-03-01
201503|ARROZ|3.66185557766947|10.3135152749475|-3.27743136349853|0|2015-03-01
201503|ARVEJA|-0.298883922599418|1.86137171848683|-2.57441109847885|0|2015-03-01
201503|ASPARRAGUS|-0.00334463820553194|0.875184601512874|-0.95194782435259|0|2015-03-01
201503|ASTROMELIA|62198.98756008|72914.6971631442|52859.8072027575|67287|2015-03-01
201503|AVENA|0|0|0|0|2015-03-01
201503|BANANITO|0|0|0|0|2015-03-01
201503|BATATA|50.9849516253794|74.3773888046394|26.7611210531986|62|2015-03-01
201503|BERENJENA|0.0651687338428497|1.05913966305453|-0.866205795550465|0|2015-03-01
201503|BROCOLI|1.99377399767671|6.87078111888594|-2.62098735818231|0|2015-03-01
201503|CAÑA AZUCARERA|0|0|0|0|2015-03-01
201503|CACAO|688.442505391011|900.470996581087|462.694379942561|299|2015-03-01
201503|CADUCIFOLIOS|42.7234640385683|70.0949561845176|14.3490998752221|60|2015-03-01
201503|CAFE|229296.384739212|272212.328506955|186090.370053169|207262|2015-03-01
201503|CARDAMOMO|0|0|0|0|2015-03-01
201503|CEBADA|0|0|0|0|2015-03-01
201503|CEBOLLA|-0.0219363056703263|0.13110281760612|-0.160757961927766|0|2015-03-01
201503|CENTENO|-1.93207785776349|3.29932706769376|-7.3112944416534|0|2015-03-01
201503|CHACHAFRUTO|3.83590252748731|5.98953503461486|1.79324832816534|6|2015-03-01
201503|CHAMPIÑON|116.520294097292|222.130437448529|12.276721087109|232|2015-03-01
201503|CIRUELA|4.95522609515693|9.39357917785771|-0.193288935606715|1|2015-03-01
201503|CLAVEL|16951.6794956868|18821.9065375186|15021.3727171827|15017|2015-03-01
201503|COCO|-0.997158616959434|0.102807098314281|-2.0567949320361|0|2015-03-01
201503|COLIFLOR|4.58005053164117|11.7847832231319|-2.22051512595116|0|2015-03-01
201503|CRISANTEMOS|13162.4630038075|14677.1707954276|11703.3918387941|15191|2015-03-01
201503|DATIL|-0.939813576937659|0.990878231449434|-2.89407641126074|0|2015-03-01
201503|DURAZNO|0|0|0|0|2015-03-01
201503|ESPARTO|2.97946053169152|7.49921098931628|-1.45046771023078|0|2015-03-01
201503|ESPINACA|1.68039673152404|2.53905270225896|0.810993915664929|1|2015-03-01
201503|FRAMBUESA|0.407793254748187|1.84221589597935|-1.05172247232968|0|2015-03-01
201503|FRESA|20.0826150046561|44.2284306408791|-2.80192705030525|10|2015-03-01
201503|GARBANZO|0|0|0|0|2015-03-01
201503|GIRASOL|0.632295254342032|1.25370064131876|0.0404688469281135|1|2015-03-01
201503|GUAYABA|116.461661172778|295.967128151485|-59.7197387731109|138|2015-03-01
201503|HABA|0.0489481159153304|0.178100480833424|-0.0750859526926115|0|2015-03-01
201503|HIGO|26.5584840603857|38.0965887012275|14.916280045893|11|2015-03-01
201503|HIGUERILLA|0.0382132228701776|0.164275959458252|-0.0973304822652809|0|2015-03-01
201503|HORTALIZAS VARIAS|0|0|0|0|2015-03-01
201503|LENTEJA|64.8869639305823|156.702050471578|-20.2630186696094|1|2015-03-01
201503|MACADAMIA|-31.3211783313462|9.66564695322801|-74.1381248597204|0|2015-03-01
201503|MAIZ|1953.8643328187|3206.17897129487|551.379441742802|2508|2015-03-01
201503|MANDARINA|5.74199760300898|17.3746431420566|-5.45587261717007|0|2015-03-01
201503|MANI|0|0|0|0|2015-03-01
201503|MANZANA|37.3357671715941|72.1268907188073|3.31796058611948|57|2015-03-01
201503|MELON|234.653588093044|400.207400903014|74.3060621951172|5|2015-03-01
201503|NABO|0.648965898839893|1.61422506638398|-0.308791449913244|0|2015-03-01
201503|NARANJA|460.322569866776|652.598307986126|278.937407239071|444|2015-03-01
201503|ORQUIDEA|6.10905196631047|8.45666292992234|3.89529264452819|9|2015-03-01
201503|PAPA|6.50952606618744|46.97338902454|-34.2874347452449|4|2015-03-01
201503|PAPAYA|-21.9557369967383|360.658193721493|-426.734741202988|0|2015-03-01
201503|PATILLA|-1.7687403182193|12.8602634327661|-15.7485018148224|0|2015-03-01
201503|PEPINO COHOMBRO|-3.01750885189104|0.467983997710593|-6.48278875914133|0|2015-03-01
201503|PERA|0|0|0|0|2015-03-01
201503|PEREJIL|0|0|0|0|2015-03-01
