DEPARTAMENTO,COD_DEP,AREA_SEMBR,AREA_COSECH,PRODUCCION,RENDIMIENTO
AMAZONAS,91.0,57.94003527336861,48.55026455026455,191.1058201058201,3.0886583184257597
ANTIOQUIA,5.0,278.39037262114186,241.83240044778506,1963.0808678500987,11.403534269199026
ARAUCA,81.0,1154.9883313885648,1036.7187864644106,8545.14935822637,9.345602409638555
ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,88.0,1.3405797101449275,1.2028985507246377,9.26086956521739,8.075362318840579
ATLANTICO,8.0,94.4759779469677,71.07324757154109,432.4801785245471,7.57207593553675
BOLIVAR,13.0,567.7286898184689,468.63161010260455,2186.317679558011,5.377095923747726
BOYACA,15.0,94.10531687402799,81.18667379471229,959.7887830482115,9.929605553647638
CALDAS,17.0,320.7660052414826,262.97304380381877,2011.5535380007489,11.795315759529677
CAQUETA,18.0,280.38950511945393,217.0221843003413,927.6633959044368,4.010748593682382
CASANARE,85.0,702.0719287078294,605.7476129853596,2955.8523233609167,8.205580312603923
CAUCA,19.0,301.06940966010734,252.23947525342874,6356.476446034586,8.902772825825108
CESAR,20.0,476.8766114180479,404.59688970738694,1381.7906691221608,5.900299958626402
CHOCO,27.0,229.47571148184494,196.9472522080471,914.6175171736998,4.792913326653299
CORDOBA,23.0,466.9244288224956,418.08201523140013,2472.6932239796915,7.011821457165737
CUNDINAMARCA,25.0,187.81117663577646,171.30440887391183,1683.1055883178883,10.319582431354695
GUAINIA,94.0,214.0493827160494,153.72222222222223,975.0679012345679,6.123076923076921
GUAVIARE,95.0,500.3737166324435,376.88501026694047,1756.8069815195072,5.8211688311688325
HUILA,41.0,225.58589727489638,193.30880321486876,607.4968604797187,7.090615061696942
LA GUAJIRA,44.0,151.88314059646987,124.02769324406573,642.3046256847231,6.184939609786319
MAGDALENA,47.0,479.8482599795292,401.0534800409417,2726.468270214944,6.650642673521886
META,50.0,935.3646250715512,756.7801946193474,5453.904598359091,10.478982012255408
NARIÑO,52.0,216.65384901450352,186.74362216437336,1119.0099665303087,8.67851446559735
NORTE DE SANTANDER,54.0,201.0498410419444,186.23095067172596,1098.0336375756333,10.794192778584733
PUTUMAYO,86.0,199.00563063063063,168.7466216216216,663.1306306306307,4.425858057009894
QUINDIO,63.0,210.80040889343215,183.1707130079223,1606.4998722208024,11.588499214248289
RISARALDA,66.0,384.05693950177937,328.1053380782918,2728.612455516014,14.872111553784869
SANTANDER,68.0,259.3805207197383,210.5113822246456,1285.3722737186479,9.310579890665027
SUCRE,70.0,270.50388629802353,235.12991339107262,1211.761492338441,5.037649748513955
TOLIMA,73.0,539.8908667830134,489.1613728912158,2295.9555555555557,6.7719751930728025
VALLE DEL CAUCA,76.0,271.55845061493596,233.9683022695575,14701.273424622797,13.961406639800492
VAUPES,97.0,62.843636363636364,57.18181818181818,394.53090909090906,4.859522058823529
VICHADA,99.0,324.75299401197606,260.63473053892216,1122.7784431137725,4.936379585326949
