Código;Descripción del producto;Valor exportado en 2015-M03;Valor exportado en 2015-M04;Valor exportado en 2015-M05;Valor exportado en 2015-M06;Valor exportado en 2015-M07;Valor exportado en 2015-M08;Valor exportado en 2015-M09;Valor exportado en 2015-M10;Valor exportado en 2015-M11;Valor exportado en 2015-M12;Valor exportado en 2016-M01;Valor exportado en 2016-M02;Valor exportado en 2016-M03;Valor exportado en 2016-M04;Valor exportado en 2016-M05;Valor exportado en 2016-M06;Valor exportado en 2016-M07;Valor exportado en 2016-M08;Valor exportado en 2016-M09
'100850;"Quinua ""Chenopodium quinoa""";0;75;73;62;0;29;110;3;52;0;0;59;156;105;0;36;65;39;0
'070959;"Setas y demás hongos, comestibles, frescas o refrigeradas (exc. hongos del género ""Agaricus"" ...";232;4;9;16;134;21;122;0;30;20;205;77;73;6;45;12;356;16;20
'090122;Café tostado descafeinado;15;15;43;25;28;54;7;8;37;23;2;2;2;38;20;15;1;7;29
'140420;Línteres de algodón;52;0;63;0;0;0;71;0;61;0;0;17;0;0;0;49;0;0;0
'080620;Secas, incl. las pasas;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
'060490;Follaje, hojas, ramas y demás partes de plantas, sin flores ni capullos y hierbas, musgos y ...;17;32;14;26;14;20;11;23;21;26;19;48;32;25;26;19;58;26;22
'070511;Lechugas repolladas, frescas o refrigeradas;9;9;0;11;10;27;16;6;9;19;18;17;27;21;18;12;30;57;18
'080930;"Melocotones ""duraznos"", incl. los griñones y las nectarinas, frescos";0;0;0;0;0;0;1;0;16;0;24;0;0;0;0;0;0;6;0
'071450;"Yautía ""Xanthosoma spp."", frescos, refrigerados, congelados o secos, incluso troceados o en ...";0;0;0;0;0;0;0;0;0;0;0;0;62;0;0;0;0;48;38
'070320;Ajos frescos o refrigerados;215;1;17;1;1;0;0;0;1;8;36;18;3;0;0;14;0;9;0
'070200;Tomates frescos o refrigerados;9;2;2;1;0;2;18;11;14;32;29;21;15;19;19;27;27;37;7
'071080;"Hortalizas, incl. ""silvestres"", aunque estén cocidas en agua o vapor, congeladas (exc. patatas ...";6;5;16;0;13;3;0;0;3;0;6;0;11;0;7;0;0;6;0
