Código;Descripción del producto;Valor exportado en 2016-M10;Valor exportado en 2016-M11;Valor exportado en 2016-M12;Valor exportado en 2017-M01;Valor exportado en 2017-M02;Valor exportado en 2017-M03;Valor exportado en 2017-M04;Valor exportado en 2017-M05;Valor exportado en 2017-M06;Valor exportado en 2017-M07;Valor exportado en 2017-M08;Valor exportado en 2017-M09;Valor exportado en 2017-M10;Valor exportado en 2017-M11;Valor exportado en 2017-M12;Valor exportado en 2018-M01;Valor exportado en 2018-M02;Valor exportado en 2018-M03;Valor exportado en 2018-M04
'090111;Café sin tostar ni descafeinar;188306;214746;424028;227674;210303;286062;209099;187682;132054;224406;202233;233587;209847;193016;197817;247016;182036;195997;197820
'060319;Flores frescas y capullos, cortados, de una, para ramos o adornos (excepto rosas, claveles, ...;41350;49561;45672;40817;60640;74876;37012;74325;109705;49831;61633;44611;40940;52672;44984;52109;61392;67356;57349
'080390;Plátanos frescos o secos (plátanos excl.);35469;86410;82502;55192;71171;121316;48631;140576;76162;60889;62792;65858;59117;47860;47722;80238;62656;63165;107965
'060311;"Rosas ""flores y capullos"", cortadas para ramos o adornos, frescas";16255;19916;20598;18450;32996;43507;17667;33043;38056;19375;28200;19289;16022;25813;16989;24328;33944;39325;29230
'060312;"Claveles ""flores y capullos"", cortados para ramos o adornos, frescos";18445;18866;16603;15123;22857;16650;15763;24319;20313;19132;17127;16557;19742;19390;18024;20431;20027;18289;17103
'060314;"Crisantemos ""flores y capullos"", cortados para ramos o adornos, frescos";9979;11822;10886;11872;10783;15271;11125;13731;17022;11996;13587;9210;13267;13914;11063;15618;12449;12151;12438
'081090;Tamarindos frescos, los anacardos, la jaca, litchis, sapotillos, maracuyá, carambola, pitahaya ...;3345;5334;6285;6440;4436;6346;4524;4873;5149;5663;4744;4296;5557;4190;5822;6824;7310;11082;5593
'090121;Café tostado sin descafeinar;4028;3188;3373;2584;3136;7537;7172;7243;4138;4070;6927;5875;3288;3809;4501;5463;3235;4112;6026
'080310;Plátanos frescos o secos;2183;6387;5572;2058;4551;8618;1934;12235;4210;4658;3110;4647;2601;5655;6532;5619;8088;4389;6274
'080440;"Aguacates ""paltas"", frescos o secos";3916;3669;4269;4152;2641;3113;2958;4696;7733;3101;3635;3442;4978;4455;8045;7752;8719;6323;9210
'080550;"Limones ""Citrus limon, Citrus limonum"" y limas ""Citrus aurantifolia, Citrus latifolia"", frescos ...";508;539;651;895;1618;1560;1245;707;1068;1175;1436;832;687;815;1095;1753;1973;3313;2982
'180400;Manteca, grasa y aceite de cacao;2788;1146;967;998;1424;706;654;982;3356;1770;1160;1808;2080;790;1472;1438;1355;2683;1616
'121190;Plantas, partes de plantas, semillas y frutos de las especies utilizadas principalmente en ...;1335;1903;2002;2399;5498;3409;1591;2285;2375;3019;3733;1112;2256;1239;2437;5198;4065;2013;2264
'180690;Chocolate y demás preparaciones alimenticias que contengan cacao, en recipientes o envases ...;3144;2406;3024;2514;2278;2556;2340;2019;1723;2764;1826;2342;2277;2675;2815;1859;7065;1332;1940
'060420;Follaje, hojas, ramas y demás partes de plantas, sin flores ni capullos y hierbas, musgos y ...;677;716;861;768;882;1062;796;1142;1029;767;727;779;813;802;769;1108;978;785;1225
'080430;"Piñas ""ananás"", frescas o secas";949;1095;1548;647;809;923;821;1141;496;884;865;923;852;958;1239;1127;745;629;1143
'180100;Cacao en grano, entero o partido, crudo o tostado;790;1026;1533;1187;1816;2419;671;2362;4203;2148;4019;2785;1646;897;3172;1489;2336;2309;2465
'180632;Chocolate y demás preparaciones alimenticias que contengan cacao, en bloques, tabletas o barras, ...;619;813;1166;1080;946;1007;881;1088;1238;1200;1270;1469;1895;1598;1701;1812;1461;1469;1087
'060315;"Lirios frescos cortados ""Lilium spp."" y las yemas, de una, para ramos o adornos";118;622;499;462;857;460;765;1173;907;709;1041;734;640;236;918;1025;992;922;1318
'180620;Chocolate y demás preparaciones alimenticias que contengan cacao, bien en bloques o barras ...;978;500;823;391;458;869;863;692;664;1001;758;761;1057;860;857;727;534;1071;736
'071430;"Ñames ""Dioscorea spp."", frescos, refrigerados, congelados o secos, incluso troceados o en pellets";144;147;141;343;223;628;634;525;387;373;389;151;275;349;512;735;779;1086;994
'060390;Secos, blanqueados, teñidos, impregnados o preparados de otro modo las flores y capullos, de ...;1033;1415;940;719;1090;940;622;975;785;919;828;1034;1014;1272;1173;957;1042;1452;1206
'180310;Pasta de cacao, sin desgrasar;1029;406;725;452;770;731;829;633;932;523;812;645;382;463;155;520;632;336;746
'090112;Café descafeinado sin tostar;427;570;534;835;289;1057;558;832;1010;815;688;484;804;514;99;898;489;479;693
'090422;Frutos del género Capsicum o del género Pimenta, triturados o pulverizados;460;162;542;471;215;136;529;359;150;304;462;305;468;447;518;363;410;236;177
'180631;Chocolate y demás preparaciones alimenticias que contengan cacao, en bloques, tabletas o barras, ...;351;304;288;490;350;329;381;444;290;162;212;402;386;290;551;234;371;383;485
'100630;Arroz semiblanqueado o blanqueado, incl. pulido o glaseado;0;0;798;632;115;0;0;0;0;9;0;81;747;0;0;60;0;388;413
'091099;"Especias (exc. pimienta del género ""Piper""; pimientos de los géneros ""Capsicum"" o ""Pimenta""; ...";232;308;451;450;717;960;248;346;412;450;590;140;432;233;577;979;821;622;440
'081190;Frutos comestibles, sin cocer o cocidos en agua o vapor, congelados, incl. con adición de azúcar ...;274;206;268;130;219;126;115;368;882;718;368;67;334;129;136;209;451;276;175
'071190;"Hortalizas, incl. ""silvestres"", mezclas de hortalizas, incl. ""silvestres"", conservadas provisionalmente, ...";196;271;193;112;178;458;82;56;70;150;153;329;115;246;202;168;316;328;39
'060210;Esquejes sin enraizar e injertos;267;268;216;390;538;408;399;215;308;340;421;294;402;307;219;392;500;482;405
'081340;Melocotones, incl. los griñones y nectarinas, peras, papayas, tamarindos y demás frutos comestibles, ...;101;274;192;352;133;340;351;330;137;276;254;348;288;531;129;542;121;461;294
'120799;Semillas y frutos oleaginosos, incluso quebrantados (exc. ??frutos de cáscara comestibles, ...;5;0;0;0;10;45;0;0;55;0;0;0;55;184;110;64;166;206;74
'080450;Guayabas, mangos y mangostanes, frescos o secos;98;74;31;292;129;874;61;333;226;349;299;221;60;40;27;371;615;222;207
'080510;Naranjas, frescas o secas;81;238;457;802;635;360;108;258;191;284;214;171;130;201;157;380;892;735;493
'080720;Papayas, frescas;3;3;8;8;1;0;9;5;9;8;227;6;567;1253;2188;1;456;32;19
'180500;Cacao en polvo sin adición de azúcar ni otro edulcorante;209;140;209;254;440;375;291;273;160;316;271;265;207;194;214;157;301;312;191
'071333;"Judías ""porotos, alubias, frijoles, fréjoles"" común ""Phaseolus vulgaris"", seca y desvainada, ...";169;133;59;8;32;111;81;50;192;64;187;210;9;91;48;23;66;36;33
'070310;Cebollas y chalotes, frescos o refrigerados;102;165;91;126;517;223;85;165;117;158;592;108;246;92;220;671;315;104;213
'071010;"Patatas ""papas"", aunque estén cocidas en agua o vapor, congeladas";225;114;38;203;101;83;182;210;205;128;165;127;292;152;205;231;141;150;148
'060290;Plantas vivas, incl. sus raíces, y micelios (exc. bulbos, cebollas, tubérculos, raíces y bulbos ...;55;79;99;124;817;82;61;29;52;210;45;160;128;214;26;132;77;934;57
'071310;"Guisantes ""arvejas, chícharos"" ""Pisum sativum"", secos, desvainados, aunque estén mondados o ...";1;4;1;0;0;0;0;0;0;0;4;0;1;1;0;0;0;181;0
