,Unnamed: 0,BP,No. VP,Nombre Proyecto,Departamento,Municipio,Total beneficiarios,Hombres,Mujeres,Total Víctimas,Valor cofinanciado ADR,Valor encargo fiduciario,Valor total cofinanciación ADR,Valor Contrapartida,Valor total proyecto,Hectáreas,Resolución,Fecha resolución,Vigencia,Lineamiento de consejo directivo,AP_ID_ADR,AP_CADENA_PRODUCTIVA_ADR
80,80,90,90,"Fortalecimiento de las capacidades productivas asociativas y comerciales de 160 pequeños productores del municipio de Plato en el departamento del Magdalena, a través del establecimiento de 160 hectáreas de ñame espino tipo exportación",MAGDALENA,PLATO,160,128,32,65,1500000000,,1500000000,336000000,1836000000,160,243,04/11/2018 12:00:00 AM,2017,,1,AGRICOLA
84,84,94,94,"Fortalecer el sistema productivo del café en el Resguardo Indígena El Gran Mallama, municipio de Mallama, departamento de Nariño",NARIÑO,MALLAMA,40,31,9,9,434216599,,434216599,139320000,573536599,40,201,03/23/2018 12:00:00 AM,2016,,1,AGRICOLA
88,88,100,100,"Fortalecer los rendimientos productivos y la generación de ingresos de 66 productores de plátano hartón a través de la transferencia de conocimiento y asistencia técnica en los municipios de Puerto Escondido, San Bernardo del Viento, en el departamento de Córdoba",CORDOBA,"PUERTO ESCONDIDO, SAN BERNARDO DEL VIENTO",66,36,30,13,999993000,,999993000,122760000,1122753000,66,352,05/22/2018 12:00:00 AM,2017,,1,AGRICOLA
89,89,101,101,"Aumentar la capacidad de siembra de plátano, fortaleciendo el impulso en la compra de maquinaria agrícola para la Asociación Red de Mujeres Comunales del departamento del Meta, del municipio de Fuente de Oro, departamento del Meta",META,FUENTE DE ORO,47,4,43,17,390795000,,390795000,346040371,736835371,47,136,02/28/2018 12:00:00 AM,2016,,1,AGRICOLA
90,90,102,102,Fortalecer el sistema productivo de mora (Rubus Glaucus Benth) en los resguardos de Yaramal e Ipiales del pueblo indígena de los Pastos,NARIÑO,IPIALES,32,21,11,3,500000000,,500000000,106272000,606272000,16,140,02/28/2018 12:00:00 AM,2016,,1,AGRICOLA
91,91,104,104,Mejoramiento de la producción porcícola realizada en el Resguardo Indígena de San Juan en el municipio de Ipiales - Nariño,NARIÑO,IPIALES,124,7,117,8,899942400,,899942400,166748000,1066690400,0,200,03/23/2018 12:00:00 AM,2016,,1,AGRICOLA
92,92,106,106,Fortalecimiento de los mercados campesinos del departamento del Quindío,QUINDIO,"ARMENIA, BUENAVISTA, CALARCÁ, CIRCASIA, CÓRDOBA, FILANDIA, GÉNOVA, LA TEBAIDA, MONTENEGRO, PIJAO, QUIMBAYA, SALENTO",234,119,115,47,298981600,,298981600,301184400,600166000,0,211,03/23/2018 12:00:00 AM,2016,,1,AGRICOLA
93,93,108,108,Fortalecimiento de la producción cafetera de la Asociación de Mujeres Cafeteras del Centro del Huila mediante sostenimiento de café y asistencia técnica,HUILA,"PITAL, EL AGRADO",27,0,27,1,353046000,,353046000,115290000,468336000,27,207,03/23/2018 12:00:00 AM,2017,,1,AGRICOLA
96,96,693,112,"Fortalecer las capacidades productivas y asociativas mediante la implementación de 291 hectáreas de Aguacate Hass, beneficiando a pequeños productores de los municipios de Aguadas, Salamina, Manzanares, Pensilvania, Merced y Supia, Departamento de Caldas.",CALDAS,"AGUADAS, SALAMINA, MANZANARES, PENSILVANIA, MERCED, SUPÍA",291,240,51,105,1499984371,,1499984371,166700718,1666685089,291,132,02/28/2018 12:00:00 AM,2016,,1,AGRICOLA
98,98,114,114,"Construcción e implementación de sistema de secado solar para el manejo de café de 35 pequeños productores cafeteros del municipio de Rivera, departamento del Huila",HUILA,RIVERA,35,27,8,4,362280400,,362280400,105972405,468252805,70,343,05/22/2018 12:00:00 AM,2017,,1,AGRICOLA
