,Unnamed: 0,BP,No. VP,Nombre Proyecto,Departamento,Municipio,Total beneficiarios,Hombres,Mujeres,Total Víctimas,Valor cofinanciado ADR,Valor encargo fiduciario,Valor total cofinanciación ADR,Valor Contrapartida,Valor total proyecto,Hectáreas,Resolución,Fecha resolución,Vigencia,Lineamiento de consejo directivo,AP_ID_ADR,AP_CADENA_PRODUCTIVA_ADR
186,186,357,231,"Fortalecimiento de las capacidades productivas, mediante la dotación de bancos de maquinaria agrícola (tractor e implementos) para las asociaciones productivas en los municipios de El Dorado, Castilla La Nueva, Cubarral, Guamal, Granada, Lejanías, Fuente de Oro, El Castillo y Puerto Rico, del departamento del Meta",META,"EL DORADO, CASTILLA LA NUEVA, CUBARRAL, GUAMAL, GRANADA, LEJANÍAS, FUENTE DE ORO, EL CASTILLO Y PUERTO RICO",269,180,89,70,3120000000,,3120000000,1254547200,4374547200,0,566,07/24/2018 12:00:00 AM,2017,,1,AGRICOLA
192,192,365,239,"Siembra, mantenimiento y adecuación de un sistema agroforestal (coco-plátano-yuca) que nos permita el mejoramiento de las capacidades productivas al Consejo Comunitario de la Costa Pacifica ""CONCOSTA"" en la comunidad de Belén de Docampado localizados en el municipio de Bajo Baudó en el departamento del Chocó.",CHOCO,BAJO BAUDO,40,39,1,28,699698000,"26,390,566",726088566,728000000,1454088566,200,823,11/27/2019 12:00:00 AM,2019,ASISTENCIA TÉCNICA Y EXTENSIÓN,1,AGRICOLA
197,197,371,245,"Fortalecimiento de las cadenas productivas de café en asocio con plátano y aguacate, cultivo de maracuyá de 37 familias de las veredas Alto de Don Diego, Bellavista, Curiaco, Granada, La Concordia, El Páramo, Paso Feo y El Salado del municipio de Taminango departamento de Nariño",NARIÑO,TAMINANGO,37,21,16,23,533630234,,533630234,198360000,731990234,37,579,08/26/2019 12:00:00 AM,2018,ORDENAMIENTO DE LA PRODUCCIÓN,1,AGRICOLA
199,199,378,252,"Fortalecimiento de la cadena productiva de Cacao, a través de la rehabilitación de 184 hectáreas de cacao en los departamentos de Guainía y Vichada",GUAINIA,"BARRANCO MINAS,
INÍRIDA,
MAPIRIPANA,
CUMARIBO",90,87,3,36,731834400,,731834400,634457600,1366292000,184,459,07/16/2019 12:00:00 AM,2017,,1,AGRICOLA
200,200,380,254,"Mejorar la productividad del cultivo de caña panelera, mediante la siembra, la provisión de equipos para cosecha y poscosecha beneficiando pequeños productores de los municipios de Valledupar y Pueblo Bello en el Departamento del Cesar.",CESAR,"VALLEDUPAR
PUEBLO BELLO",118,93,25,46,1964910200,"26,390,566",1991300766,688057600,2679358366,118,821,11/27/2019 12:00:00 AM,2019,ORDENAMIENTO DE LA PRODUCCIÓN,1,AGRICOLA
201,201,382,255,"Aumentar los ingresos de pequeños productores agropecuarios de los municipios de la Jagua de Ibirico, Chimichagua, y Agustín Codazzi en el departamento del Cesar, a partir del cultivo de mango Keitt en asocio con frijol Caupi.",CESAR,"La Jagua de Ibirico, Chimichagua y Agustín Codazzi",48,33,15,20,704668970,"26,390,566",731059536,250892720,981952256,48,793,11/18/2019 12:00:00 AM,2019,ADECUACIÓN DE TIERRAS,1,AGRICOLA
205,205,285,276,Fortalecimiento de la producción y comercialización del cultivo de frijol variedad zaragoza para 69 potenciales beneficiarios  de la asociación  de productores agropecuarios del corregimiento de Aspasica - La Playa de Belen Norte de Santander,NORTE DE SANTANDER,LA PLAYA DE BELÉN,69,66,3,10,494040000,,494040000,421500000,915540000,69,461,07/16/2019 12:00:00 AM,2017,,1,AGRICOLA
206,206,276,277,"Fortalecimiento del encadenamiento productivo y comercial de los cultivos de frijol, mora, citricos, aguacate y maracuya de las asociaciones Aspijac, Moracar y Acifruc ubicadas en los municipios de Ocaña y Cáchira en el departamento de Norte de Santander.",NORTE DE SANTANDER,"OCAÑA,
CÁCHIRA",69,58,11,12,715210000,,715210000,144491000,859701000,340,580,08/26/2019 12:00:00 AM,2018,ORDENAMIENTO DE LA PRODUCCIÓN,1,AGRICOLA
207,207,252,278,"Fortalecimiento de las capacidades productivas y  organizacionales mediante la implementación de un modelo agroforestal de cacao, plátano y forestales, beneficiando a cincuenta y cuatro (54) familias de la asociación Asocacao del Municipio La Esperanza, Norte de Santander.",NORTE DE SANTANDER,LA ESPERANZA,54,46,8,8,373952000,,373952000,307280000,681232000,54,462,07/16/2019 12:00:00 AM,2017,,1,AGRICOLA
209,209,278,280,Implementación de estrategias y acciones dirigidas al fortalecimiento de los procesos productivos de plátano dominico hartón y agucate lorena de 39 potenciales beneficiarios de la Asociación de Desplazados asentados en las veredas de San Antonio y San Cayetano - Asodesantos del Municipio de Convención del departamento de Norte de Santander,NORTE DE SANTANDER,CONVENCIÓN,39,32,7,27,345194000,,345194000,128910000,474104000,39,464,07/16/2019 12:00:00 AM,2017,,1,AGRICOLA
212,212,231,295,"Mejorar las capacidades agroindustriales, logísticas y organizacionales con el fin de consolidar la cadena de valor de café, mediante la construcción y dotación de una planta trilladora de café, que beneficiará a las familias pertenecientes a la Asociación de Cabildos Juan Tama en la región Tierradentro municipio de Inzá Cauca",CAUCA,INZÁ,400,259,141,22,2940000000,"26,390,566",2966390566,342479053,3308869619,0,832,11/28/2019 12:00:00 AM,2019,AGRICULTURA POR CONTRATO,1,AGRICOLA
213,213,619,297,"Establecimiento de un sistema agroforestal de cacao asociado con bananito y arboles maderables para sombrio, y el establecimiento de cultivo de coco , para beneficiar a 262 familias de los consejos comunitarios y resguardos indigenas ubicados en el municipio de buenaventura departamento del valle del cauca",VALLE DEL CAUCA,BUENAVENTURA,262,187,75,187,2775536000,"26,390,566",2801926566,956060000,3757986566,262,806,11/21/2019 12:00:00 AM,2019,TRANSVERSAL,1,AGRICOLA
217,217,2085,303,"Fortalecimiento de la cadena productiva de la papa mediante la dotación de bancos de maquinaria, para las provincias de Ubaté, el Guavio, Sabana de Occidente, Sabana Centro y Almeidas en el departamento de Cundinamarca",CUNDINAMARCA,"Susa, Carmen de Carupa, La Calera, Subachoque, Zipacón, Chocontá y Zipaquirá",220,189,31,0,3058675000,"26,390,566",3085065566,1478103000,4563168566,4,792,11/18/2019 12:00:00 AM,2019,ORDENAMIENTO DE LA PRODUCCIÓN,1,AGRICOLA
218,218,264,304,"Fortalecimiento de las capacidades productivas y organizacionales mediante el sostenimiento de cultivos de aguacate lorena beneficiando a pequeños y medianos productores en los municipios de Coper, Muzo, Otanche y San Pablo de Borbur en el departamento de Boyacá",BOYACA,"COPER, MUZO, OTANCHE, SAN PABLO DE BORBUR",241,167,74,31,1571900000,"26,390,566",1598290566,678030000,2276320566,241,831,11/28/2019 12:00:00 AM,2019,ORDENAMIENTO DE LA PRODUCCIÓN,1,AGRICOLA
225,225,719,319,"Fortalecer las capacidades productivas, organizacionales mediante la implementación de cultivos de cacao en asocio con plátano y asistencia técnica integral a 150 familias campesinas e indígenas de los municipios de Santa Rosalía y La Primavera en el departamento de Vichada",VICHADA,"SANTA ROSALÍA, LA PRIMAVERA",150,130,20,23,1687000000,"26,390,566",1713390566,724500000,2437890566,150,858,12/10/2019 12:00:00 AM,2019,ASISTENCIA TÉCNICA Y EXTENSIÓN,1,AGRICOLA
227,227,744,328,"Mejorar la productividad de 48 pequeños productores de la asociación PROCAMSA, a través del sostenimiento de 48 Ha de plátano dominico hartón (Musa sp.) en el municipio de San José Caldas",CALDAS,SAN JOSÉ,48,39,9,7,265536000,"26,390,566",291926566,196880000,488806566,48,998,12/27/2019 12:00:00 AM,2019,ORDENAMIENTO DE LA PRODUCCIÓN,1,AGRICOLA
