Código;Descripción del producto;Valor exportado en 2018-M05;Valor exportado en 2018-M06;Valor exportado en 2018-M07;Valor exportado en 2018-M08;Valor exportado en 2018-M09;Valor exportado en 2018-M10;Valor exportado en 2018-M11;Valor exportado en 2018-M12;Valor exportado en 2019-M01;Valor exportado en 2019-M02;Valor exportado en 2019-M03;Valor exportado en 2019-M04;Valor exportado en 2019-M05;Valor exportado en 2019-M06;Valor exportado en 2019-M07;Valor exportado en 2019-M08;Valor exportado en 2019-M09;Valor exportado en 2019-M10;Valor exportado en 2019-M11;Valor exportado en 2019-M12
'060120;Bulbos, cebollas, tubérculos, raíces y bulbos tuberosos, turiones, rizomas, en vegetación o ...;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
'060220;Árboles, arbustos y matas, de frutas o de otros frutos comestibles, incl. injertados;0;2;0;0;10;0;0;0;0;0;12;46;44;5;0;0;6;0;0;0
'060230;Rododendros y azaleas, incl. injertados;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'060240;Rosales, sin injertar;9;12;0;0;3;0;0;0;0;0;27;0;0;2;61;0;0;0;54;0
'060310;Flores y capullos, cortados para ramos o adornos, frescos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'060313;"Orquídeas ""flores y capullos"", cortadas para ramos o adornos, frescas";0;3;3;1;2;1;1;0;5;1;3;5;1;1;0;1;1;0;1;0
'060410;Follaje, hojas, ramas y demás partes de plantas, sin flores ni capullos, y hierbas, musgos ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'060491;Follaje, hojas, ramas y demás partes de plantas, sin flores ni capullos, y hierbas, musgos ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'060499;Follaje, hojas, ramas y demás partes de plantas, sin flores ni capullos, y hierbas, musgos ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'070110;"Patatas ""papas"" para siembra";0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0
'070320;Ajos frescos o refrigerados;2;4;0;27;18;0;27;6;4;54;1;0;0;0;0;0;0;0;0;0
'070410;"Coles y brécoles ""broccoli"", frescos o refrigerados";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'070420;"Coles ""repollitos"" de Bruselas, frescas o refrigeradas";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'070521;"Endibias ""Witloof"", ""Cichorium intybus var. foliosum"", frescas o refrigeradas";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'070529;"Achicorias, comprendidas la escarola y la endibia ""Cichorium spp."", frescas o refrigeradas ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'070820;"Judías ""porotos, alubias, frijoles, fréjoles"" ""Vigna spp."", ""Phaseolus spp."", frescas o re ...";6;7;3;2;4;3;3;0;3;4;0;4;3;0;6;4;0;0;4;0
'070890;"Hortalizas de vaina, incl. ""silvestres"", aunque estén desvainadas, frescas o refrigeradas (exc. ...";9;0;1;0;0;0;0;4;0;0;1;0;2;0;0;0;0;0;0;0
'070910;"Alcachofas ""alcauciles"", frescas o refrigeradas";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'070920;Espárragos, frescos o refrigerados;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'070930;Berenjenas, frescas o refrigeradas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'070940;Apio, fresco o refrigerado (exc. apionabo);0;1;1;1;46;0;0;1;0;1;0;1;1;1;2;0;0;0;0;0
'070952;Trufas, frescas o refrigeradas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'070970;Espinacas, incl. las de Nueva Zelanda, y armuelles, frescas o refrigeradas;2;0;1;2;1;1;1;2;2;0;1;0;0;0;0;0;0;0;0;0
