Código;Descripción del producto;Valor exportado en 2018-M05;Valor exportado en 2018-M06;Valor exportado en 2018-M07;Valor exportado en 2018-M08;Valor exportado en 2018-M09;Valor exportado en 2018-M10;Valor exportado en 2018-M11;Valor exportado en 2018-M12;Valor exportado en 2019-M01;Valor exportado en 2019-M02;Valor exportado en 2019-M03;Valor exportado en 2019-M04;Valor exportado en 2019-M05;Valor exportado en 2019-M06;Valor exportado en 2019-M07;Valor exportado en 2019-M08;Valor exportado en 2019-M09;Valor exportado en 2019-M10;Valor exportado en 2019-M11;Valor exportado en 2019-M12
'100630;Arroz semiblanqueado o blanqueado, incl. pulido o glaseado;387;307;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;4;0;0
'100640;Arroz partido;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'100700;Sorgo de grano (granífero);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'100790;Sorgo en grano (excepto para siembra);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'100810;Alforfón;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'100820;"Alforfón, mijo y alpiste; los demás cereales : Mijo";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'100829;Mijo (sorgo de grano excluida, y la semilla para la siembra);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'100830;Alpiste;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'100890;Cereales (excepto el trigo y morcajo, centeno, cebada, avena, maíz, arroz, sorgo, trigo sarraceno, ...;0;0;0;0;0;0;0;0;39;0;0;0;0;0;0;0;0;0;0;0
'120100;Habas (porotos, frijoles, fréjoles) de soja (soya), incluso quebrantadas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'120110;De semillas de soja, para siembra;20;0;0;0;0;0;0;0;0;0;0;0;113;0;0;0;0;0;0;0
'120190;Habas de soja, incluso quebrantadas (exc. ??las de siembra para siembra);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'120210;Cacahuetes (cacahuates, maníes) sin tostar ni cocer de otro modo, incluso sin cáscara o quebrantados ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'120220;Cacahuetes (cacahuates, maníes) sin tostar ni cocer de otro modo, incluso sin cáscara o quebrantados ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'120241;Cacahuetes, con cáscara (exc. ??las de siembra para la siembra, o maníes crudos);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'120242;Cacahuetes sin cáscara, incluso quebrantados (exc. ??de semillas para la siembra, o maníes ...;0;0;0;0;0;20;4;2;0;0;0;1;0;0;0;0;2;0;12;0
'120400;Semilla de lino, incluso quebrantada;1;1;0;0;1;0;2;0;0;0;0;2;0;0;5;0;0;0;0;0
'120510;"Semillas de nabo ""nabina"" o de colza con bajo contenido de ácido erúcico ""de las que se obtiene ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'120590;"Semillas de nabo ""nabina"" o de colza con alto contenido de ácido erúcico ""de las que se obtiene ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'120600;Semilla de girasol, incluso quebrantada;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'120720;Las demás semillas y frutos oleaginosos, incluso quebrantados : Semilla de algodón;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'120721;Semilla de algodón, para siembra;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'120730;Semilla de ricino;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'120740;"Semilla de sésamo ""ajonjolí"", incl. quebrantada";0;0;1;0;0;0;0;0;0;0;0;0;139;0;0;0;0;0;21;0
'120750;Semilla de mostaza, incl. quebrantada;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'120760;"Cártamo ""Carthamus tinctorius"" semillas";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'120791;"Semilla de amapola ""adormidera"", incl. quebrantada";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'120799;Semillas y frutos oleaginosos, incluso quebrantados (exc. ??frutos de cáscara comestibles, ...;258;144;248;35;125;0;49;0;0;0;0;0;0;0;1;0;0;0;0;0
'120810;"Harina de habas de soja ""soya""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'120890;"Harina de semillas o de frutos oleaginosos (exc. harina de mostaza y de habas de soja ""soya"")";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'120910;Semilla de remolacha azucarera, para siembra;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0
'120921;Semilla de alfalfa, para siembra;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'120922;"Semilla de trébol ""Trifolium spp."", para siembra";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'120923;Semilla de festucas, para siembra;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'120924;"Semilla de pasto azul de Kentucky ""Poa pratensis L."", para siembra";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'120925;"Semilla de ballico ""Lolium multiflorum Lam."", ""Lolium perenne L."", para siembra";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'120930;Semillas de plantas herbáceas utilizadas principalmente por sus flores, para siembra;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'120999;Semillas, frutos y esporas, para siembra (exc. legumbres, maíz dulce, café, té, yerba mate ...;0;1;0;0;0;0;0;0;0;0;0;0;6;0;0;23;0;4;31;0
'121020;"Conos de lúpulo, quebrantados, molidos o en ""pellets""; lupulino";0;0;0;9;0;0;12;0;0;0;0;20;0;0;0;0;0;0;0;0
'121110;Raíces de regaliz, frescas o secas, incl. cortadas, trituradas o pulverizadas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'121120;"Raíces de ""ginseng"", frescas o secas, incl. cortadas, trituradas o pulverizadas";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'121130;Hojas de coca, frescas o secas, incl. cortadas, trituradas o pulverizadas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'121210;Algarrobas y sus semillas, frescas, refrigeradas, congeladas o secas, incl. pulverizadas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'121220;Algarrobas, algas, remolacha azucarera y caña de azúcar, frescas, refrigeradas, congeladas ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'121221;Algas marinas y otras algas, frescas, refrigeradas, congeladas o secas, con o sin tierra, apta ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'121229;Algas marinas y otras algas, frescas, refrigeradas, congeladas o secas, con o sin tierra, no ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'121230;"Huesos ""carozos"" y almendras de albaricoque ""damasco, chabacano"", de melocotón ""durazno"", incl. ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'121291;Remolacha azucarera, fresca, refrigerada, congelada o seca, incl. pulverizada;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
'121293;Caña de azúcar, fresca, refrigerada, congelada o seca, incl. pulverizada;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'121410;"Harina y ""pellets"" de alfalfa";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'140120;"Roten ""ratán""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'140200;«Kapok» [miraguano de bombacáceas], crin vegetal, crin marina y demás materias vegetales de ...;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'140300;"Sorgo, piasava, grama, ixtle ""tampico"" y demás materias vegetales de las especies utilizadas ...";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'140410;Materias primas vegetales de las especies utilizadas principalmente para teñir o curtir, n.c.o.p.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'140420;Línteres de algodón;0;0;0;0;0;0;0;0;0;0;0;0;53;0;0;0;0;0;0;0
'180200;Cáscara, películas y demás desechos de cacao;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
'180320;Pasta de cacao, desgrasada total o parcialmente;32;32;28;32;4;28;0;28;0;0;0;28;13;26;13;46;6;28;28;0
