Subclase,Índice,Mes,Año,Cultivo
"ARRACACHA, ÑAME Y OTROS TUBERCULOS",111.92,12,2019,ÑAME
TOMATE,103.28,12,2019,TOMATE
CEBOLLA,88.73,12,2019,CEBOLLA
ZANAHORIA,118.19,12,2019,ZANAHORIA
"OTROS ALIMENTOS PRECOCIDOS Y PREPARADOS: AJIACO, LENTEJA, FRIJOL, LECHONA ENLATADA Y SIMILARES",103.01,12,2019,LENTEJA
ARROZ,111.7,11,2019,ARROZ
AVENA Y SUS DERIVADOS,95.72,11,2019,AVENA
TRIGO Y SUS DERIVADOS,102.6,11,2019,TRIGO
MAIZ Y SUS DERIVADOS,107.82,11,2019,MAIZ
NARANJAS,108.7,11,2019,NARANJA
BANANOS,115.15,11,2019,BANANO
TOMATE DE ARBOL,99.94,11,2019,TOMATE DE ARBOL
MORAS,104.24,11,2019,MORA
PLATANOS,119.59,11,2019,PLATANO
PAPAS,116.13,11,2019,PAPA
YUCA PARA CONSUMO EN EL HOGAR,102.5,11,2019,YUCA
"ARRACACHA, ÑAME Y OTROS TUBERCULOS",118.12,11,2019,ÑAME
TOMATE,102.96,11,2019,TOMATE
CEBOLLA,92.99,11,2019,CEBOLLA
ZANAHORIA,111.15,11,2019,ZANAHORIA
"OTROS ALIMENTOS PRECOCIDOS Y PREPARADOS: AJIACO, LENTEJA, FRIJOL, LECHONA ENLATADA Y SIMILARES",102.34,11,2019,LENTEJA
ARROZ,109.14,10,2019,ARROZ
AVENA Y SUS DERIVADOS,95.6,10,2019,AVENA
TRIGO Y SUS DERIVADOS,102.28,10,2019,TRIGO
MAIZ Y SUS DERIVADOS,107.16,10,2019,MAIZ
NARANJAS,113.14,10,2019,NARANJA
BANANOS,111.82,10,2019,BANANO
TOMATE DE ARBOL,100.61,10,2019,TOMATE DE ARBOL
MORAS,103.54,10,2019,MORA
PLATANOS,127.77,10,2019,PLATANO
PAPAS,119.41,10,2019,PAPA
YUCA PARA CONSUMO EN EL HOGAR,106.31,10,2019,YUCA
"ARRACACHA, ÑAME Y OTROS TUBERCULOS",126.25,10,2019,ÑAME
TOMATE,118.34,10,2019,TOMATE
CEBOLLA,99.54,10,2019,CEBOLLA
ZANAHORIA,120.91,10,2019,ZANAHORIA
"OTROS ALIMENTOS PRECOCIDOS Y PREPARADOS: AJIACO, LENTEJA, FRIJOL, LECHONA ENLATADA Y SIMILARES",101.05,10,2019,LENTEJA
ARROZ,108.86,9,2019,ARROZ
AVENA Y SUS DERIVADOS,96.04,9,2019,AVENA
TRIGO Y SUS DERIVADOS,102.33,9,2019,TRIGO
MAIZ Y SUS DERIVADOS,105.83,9,2019,MAIZ
NARANJAS,117.38,9,2019,NARANJA
BANANOS,109.19,9,2019,BANANO
TOMATE DE ARBOL,101.37,9,2019,TOMATE DE ARBOL
MORAS,103.51,9,2019,MORA
PLATANOS,125.34,9,2019,PLATANO
