Id_Usuario;Sexo;Tipo_Poblacional;Discapacidad;Departamento;Municipio;Vereda;Predio;Cadena_Productiva;C1A1;C2A1;C3A1;C4A1;C5A1;C6A1;C7A1;C8A1;C9A1;C10A1;NA1;C1A2;C2A2;C3A2;C4A2;C5A2;C6A2;C7A2;NA2;C1A3;C2A3;C3A3;C4A3;C5A3;NA3;C1A4;C2A4;C3A4;C4A4;NA4;C1A5;C2A5;C3A5;C4A5;NA5;CLAS_GRAL;CADENA_PRODUCTIVA_ADR;ID_ADR;Tipo de proyecto
3510;F;NINGUNA;NO;BOLIVAR;13052;ISLA REGE;LOS ROBLES;MAIZ;4;4;2;1;1;1;1;1;2;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;MAIZ;012504;Asistencia Tecnica
3511;F;NINGUNA;NO;BOLIVAR;13468;LA LOBATA;DIOS ME VEA;MAIZ;3;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;MAIZ;012504;Asistencia Tecnica
3512;F;NINGUNA;NO;BOLIVAR;13468;LA LOBATA;LAS PLAYAS;MAIZ;4;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;MAIZ;012504;Asistencia Tecnica
3513;F;NINGUNA;NO;BOLIVAR;13430;ISLA GRANDE ;LA FLORIDA;MAIZ;4;1;1;1;1;1;1;1;1;1;1;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;MAIZ;012504;Asistencia Tecnica
3521;M;NINGUNA;NO;BOLIVAR;13433;EVITAR;CAÑO MOCHO;MAIZ;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;MAIZ;012504;Asistencia Tecnica
3522;M;NINGUNA;NO;BOLIVAR;13433;EVITAR;LA VICTORIA;MAIZ;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;MAIZ;012504;Asistencia Tecnica
3528;F;NINGUNA;NO;BOLIVAR;13442;CANDELARIA;POCO A POCO;MAIZ;4;2;2;2;3;3;1;1;1;1;1;4;2;1;1;1;1;1;1;1;2;3;1;2;1;1;2;1;1;1;1;1;1;1;1;1;MAIZ;012504;Asistencia Tecnica
3529;F;NINGUNA;NO;BOLIVAR;13468;ANCON;LA PLAYA;MAIZ;4;4;1;1;2;1;1;1;1;1;1;1;2;2;1;2;1;1;1;1;1;1;2;1;1;2;2;2;1;1;1;2;2;2;1;1;MAIZ;012504;Asistencia Tecnica
3537;M;NINGUNA;NO;BOLIVAR;13062;EL PILON;LA RUSIA;MAIZ;1;2;1;1;2;2;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;MAIZ;012504;Asistencia Tecnica
3551;F;NINGUNA;NO;BOLIVAR;13468;LA LOBATA;LA UNION;MAIZ;3;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;MAIZ;012504;Asistencia Tecnica
