DEPARTAMENTO,MUNICIPIO,Total beneficiarios,Valor cofinanciación,Valor Contrapartida,YEAR,CP,CICLO_CULTIVO,RENDIMIENTO,PRODUCTIVIDAD,key,cluster
GUAVIARE,SAN JOSE DEL GUAVIARE,32,118272000,45984400,2014,PIÑA,PERMANENTE,25.0,0.2926829268292683,333,2
NORTE DE SANTANDER,SAN CALIXTO,52,167440000,111150000,2015,TOMATE,TRANSITORIO,27.5,1.0,49,0
BOLIVAR,EL CARMEN DE BOLIVAR,20,70694589,15820000,2013,PLATANO,PERMANENTE,10.0,0.75125,731,0
ANTIOQUIA,DABEIBA,25,401373250,355140000,2017,PLATANO,PERMANENTE,12.0,0.8235294117647058,2,0
SUCRE,OVEJAS,0,138008000,28233000,2012,YUCA,ANUAL,13.0,0.9921742089145968,786,0
CORDOBA,PUERTO ESCONDIDO,72,221759600,100428000,2014,COCO,PERMANENTE,10.9,0.9866666666666667,352,0
ATLANTICO,SABANALARGA,0,612022,20693,2012,PIÑA,PERMANENTE,36.0,1.0,910,0
PUTUMAYO,MOCOA,64,226407000,25160000,2013,YUCA,ANUAL,8.5,0.9310344827586207,538,0
CUNDINAMARCA,SILVANIA,224,686023400,343240000,2014,AGUACATE,PERMANENTE,8.0,0.75,346,3
SANTANDER,EL CARMEN DE CHUCURÍ,8,23420700,11392000,2013,PLATANO,PERMANENTE,9.583253424657535,0.8004189840519335,1003,0
VALLE DEL CAUCA,ARGELIA,140,320697000,231120000,2013,BANANO,PERMANENTE,30.0,0.8578199052132701,483,0
CAUCA,CORINTO,500,62000000,9990000,2013,MORA,PERMANENTE,8.0,1.0,661,3
NORTE DE SANTANDER,TIBU,28,108192000,42600000,2015,YUCA,ANUAL,13.0,1.0,33,0
PUTUMAYO,PUERTO ASIS,40,0,0,2015,PLATANO,PERMANENTE,5.5,0.9266409266409267,31,0
NARIÃ‘O,TAMINANGO,64,236538704,85475812,2014,PIÑA,PERMANENTE,10.0,1.0,231,0
ANTIOQUIA,TURBO,0,0,0,2013,BANANO,PERMANENTE,34.9,1.0,752,0
PUTUMAYO,SAN MIGUEL,48,177326800,36663273,2014,BANANITO,PERMANENTE,8.0,0.9473684210526315,192,0
TOLIMA,FRESNO,120,352830000,327600000,2013,GUANABANA,PERMANENTE,7.0,0.3023529411764706,513,2
NORTE DE SANTANDER,GRAMALOTE,120,369576000,191225000,2014,TANGELO,PERMANENTE,10.0,1.0,204,0
ARAUCA,TAME,28,103438100,45640000,2014,PIÑA,PERMANENTE,15.0,1.0,433,0
NARIÃ‘O,CHACHAGUI,0,456132240,194675520,2012,REPOLLO,TRANSITORIO,8.0,0.5,808,2
VICHADA,"SANTA ROSALÍA, LA PRIMAVERA",150,1713390566,724500000,2019,PLATANO,PERMANENTE,5.719791666666666,0.8748588342342436,987,1
BOLIVAR,SANTA ROSA,48,154560000,87210000,2015,LIMON,PERMANENTE,7.0,0.75,109,0
META,"ACACÍAS, RESTREPO, CUMARAL, GUAMAL, CABUYARO, PUERTO LÓPEZ",148,1476660080,489288000,2017,PLATANO,PERMANENTE,15.052385321100918,0.8397589381991163,942,1
CAUCA,PADILLA,12,27000000,7675500,2015,CIMARRON,TRANSITORIO,8.5,0.8571428571428572,77,0
CAUCA,CALOTO,12,38640000,26352000,2015,GUANABANA,PERMANENTE,20.0,0.3333333333333333,84,2
HUILA,LA PLATA,324,645685000,585200000,2013,GRANADILLA,PERMANENTE,15.0,1.0,588,3
CAUCA,CORINTO,16,51548000,17964096,2015,YUCA,ANUAL,11.5,1.0,82,0
NARIÃ‘O,GUAITARILLA,40,55200000,77360000,2014,HABA,TRANSITORIO,4.25,1.0,254,0
CAUCA,TORIBÍO,20,197000000,71010000,2016,TOMATE,TRANSITORIO,33.21751811594203,0.9280274319951272,924,0
CALDAS,FILADELFIA,12,36732587,26229375,2014,AGUACATE,PERMANENTE,35.0,0.7352941176470589,408,0
CAUCA,MIRANDA,0,70182000,64160000,2013,CAÑA AZUCARERA,PERMANENTE,96.02,0.8751945662940427,654,0
SANTANDER,VELEZ,84,247582600,136893000,2013,LULO,PERMANENTE,20.0,0.88,521,0
CHOCO,BAGADÓ,73,346452142,524040000,2017,PLATANO,PERMANENTE,6.472403314917125,0.8317325445740518,920,0
ARAUCA,SARAVENA,36,110879995,66277500,2014,MARACUYA,PERMANENTE,18.0,0.5,436,2
CALDAS,RISARALDA,50,500000000,130250000,2016,CAFE,PERMANENTE,1.35,0.7267794446217682,5,0
CALDAS,PENSILVANIA,76,280896000,165026875,2014,TOMATE,TRANSITORIO,20.0,1.0,404,0
VALLE DEL CAUCA,TRUJILLO,0,0,0,2013,GUANABANA,PERMANENTE,22.0,0.3333333333333333,467,2
CAUCA,BUENOS AIRES,4,12880000,9020000,2015,PLATANO,PERMANENTE,5.0,0.9555555555555556,97,0
NARIÃ‘O,GUACHUCAL,148,375416600,145352000,2013,PAPA,TRANSITORIO,16.0,0.9493760635280772,559,0
CORDOBA,CANALETE,52,160159892,48156000,2014,MARACUYA,PERMANENTE,15.0,1.0,359,0
CORDOBA,TIERRALTA,0,258415200,44589388,2012,MAIZ,TRANSITORIO,2.433333333333333,1.0,874,0
NARIÃ‘O,GUACHUCAL,24,53400000,78640000,2014,PAPA,TRANSITORIO,16.0,0.9693650793650793,266,0
CALDAS,LA DORADA,0,0,0,2013,ALBAHACA,TRANSITORIO,20.0,0.9,678,0
CAUCA,LA SIERRA,64,193887608,55005000,2014,YUCA,ANUAL,4.0,0.7894736842105263,382,0
BOLIVAR,EL CARMEN DE BOLIVAR,12,37858770,16700000,2013,PLATANO,PERMANENTE,10.0,0.75125,694,0
CALDAS,CHINCHINA,32,98553166,69945000,2014,AGUACATE,PERMANENTE,10.0,1.0,411,0
CAUCA,POPAYAN,0,306018000,224412000,2012,YUCA,ANUAL,7.0,0.8,887,0
BOLIVAR,EL CARMEN DE BOLIVAR,32,123648000,16075000,2015,PLATANO,PERMANENTE,6.0,0.6,118,0
ATLANTICO,CANDELARIA,92,283356250,171048000,2014,YUCA,ANUAL,6.9,0.625,430,0
NARIÃ‘O,IPIALES,100,298000000,192482000,2014,REPOLLO,TRANSITORIO,35.0,0.9083333333333333,250,0
GUAINIA,INIRIDA,52,192147750,67197500,2014,ARAZA,PERMANENTE,11.0,0.8,342,0
HUILA,GIGANTE,41,412121840,82612500,2017,CAFE,PERMANENTE,1.05,0.7925009100837277,9,0
PUTUMAYO,PUERTO ASIS,60,184793000,77698333,2014,PLATANO,PERMANENTE,5.5,0.926984126984127,196,0
CHOCO,BAGADÓ,127,336281247,184327940,2017,PLATANO,PERMANENTE,6.472403314917125,0.8317325445740518,946,0
CAUCA,CORINTO,28,90160000,42182000,2015,YUCA,ANUAL,11.5,1.0,81,0
ATLANTICO,PIOJO,0,272001445,11466300,2012,COCO,PERMANENTE,5.0,0.5,913,2
VALLE DEL CAUCA,BUENAVENTURA,84,297108000,115416000,2013,COCO,PERMANENTE,12.0,1.0,478,0
BOLIVAR,EL CARMEN DE BOLIVAR,28,99023000,26460000,2013,PLATANO,PERMANENTE,10.0,0.75125,697,0
NARIÃ‘O,PUERRES,72,0,0,2014,ZANAHORIA,TRANSITORIO,23.0,1.0,239,0
META,PUERTO LOPEZ,24,73920000,16830000,2014,MAIZ FORRAJERO,TRANSITORIO,24.5,1.0,292,0
NORTE DE SANTANDER,GRAMALOTE,236,726880000,371110000,2014,TANGELO,PERMANENTE,10.0,1.0,211,3
BOLIVAR,EL CARMEN DE BOLIVAR,16,47158000,15340000,2013,PLATANO,PERMANENTE,10.0,0.75125,722,0
CHOCO,TADO,280,0,0,2014,YUCA,ANUAL,5.0,1.0,361,3
AMAZONAS,PUERTO NARIÑO,24,73920000,31050000,2014,CHONTADURO,PERMANENTE,6.0,0.9333333333333333,451,0
NARIÃ‘O,TUMACO,328,1009564500,3060629840,2014,PLATANO,PERMANENTE,8.0,0.7142857142857143,227,1
CUNDINAMARCA,PACHO,0,11299000,1320000,2012,TOMATE,TRANSITORIO,85.0,1.0,862,0
CHOCO,TADO,236,0,0,2014,YUCA,ANUAL,5.0,1.0,362,3
NORTE DE SANTANDER,SARDINATA,0,272015658,83540000,2012,TOMATE,TRANSITORIO,25.0,0.85,802,0
CAUCA,EL TAMBO,20,58920000,38521000,2013,PLATANO,PERMANENTE,6.0,0.7225396825396826,658,0
BOLIVAR,EL CARMEN DE BOLIVAR,20,58950000,16000000,2013,PLATANO,PERMANENTE,10.0,0.75125,708,0
CAUCA,SANTANDER DE QUILICHAO,0,0,0,2013,YUCA,ANUAL,15.0,0.8,645,0
LA GUAJIRA,DIBULLA,48,141341240,28376236,2013,YUCA,ANUAL,12.0,0.9090909090909091,581,0
HUILA,"PITAL, EL AGRADO",27,353046000,115290000,2017,CAFE,PERMANENTE,1.1607857142857163,0.7912160020615535,938,0
CHOCO,RIOSUCIO,24,73915050,42705000,2014,YUCA,ANUAL,15.0,1.0,370,0
META,FUENTE DE ORO,47,390795000,346040371,2016,PLATANO,PERMANENTE,19.0,0.5841708542713567,7,0
TOLIMA,CHAPARRAL,216,677315040,173283000,2014,ARRACACHA,ANUAL,8.0,1.0,155,3
NARIÃ‘O,TUMACO,200,566699117,378753000,2013,PALMITO,PERMANENTE,12.0,1.0,543,3
ARAUCA,ARAUCA,8,0,0,2014,YUCA,ANUAL,20.0,0.8736842105263158,442,0
ATLANTICO,CANDELARIA,0,147335000,31245189,2012,PATILLA,TRANSITORIO,4.0,0.4642857142857143,916,2
CAQUETA,MILAN,52,160109500,132750000,2014,CAUCHO,PERMANENTE,1.2,0.1519756838905775,398,2
CUNDINAMARCA,GUTIÉRREZ,93,566214100,262245320,2017,FRIJOL,TRANSITORIO,1.4449160908193495,0.918845004301724,962,0
NARIÃ‘O,CUMBAL,80,61707000,61930000,2013,REPOLLO,TRANSITORIO,24.5,1.0,568,0
GUAVIARE,EL RETORNO,28,99035998,22715000,2013,YUCA,ANUAL,5.2,0.8497191011235955,591,0
LA GUAJIRA,FONSECA,12,65043241,20504000,2013,AJI,TRANSITORIO,8.0,0.6166666666666667,580,2
CALDAS,"MANZANARES, AGUADAS, SAMANÁ",156,1972185600,422136000,2017,AGUACATE,PERMANENTE,9.664391143911438,0.6107572810302274,940,1
BOLIVAR,EL CARMEN DE BOLIVAR,20,70535000,8990000,2013,PLATANO,PERMANENTE,10.0,0.75125,696,0
CUNDINAMARCA,CABRERA,0,351354000,361602294,2012,GRANADILLA,PERMANENTE,7.0,0.8571428571428571,868,0
RISARALDA,DOS QUEBRADAS,0,0,0,2013,BANANO,PERMANENTE,30.0,0.21212121212121213,532,2
LA GUAJIRA,DIBULLA,16,47160000,18849970,2013,YUCA,ANUAL,12.0,0.9090909090909091,585,0
BOLIVAR,EL CARMEN DE BOLIVAR,20,58918050,20850000,2013,PLATANO,PERMANENTE,10.0,0.75125,712,0
AMAZONAS,PUERTO NARIÑO,32,98560000,22060400,2014,CHONTADURO,PERMANENTE,6.0,0.9333333333333333,450,0
CAUCA,TIMBIQUI,0,566700000,229400000,2012,CAÑA PANELERA,PERMANENTE,4.5,0.8026315789473685,881,0
NARIÃ‘O,TANGUA,120,369272400,112072000,2014,QUINUA,TRANSITORIO,1.0,1.0,228,0
GUAVIARE,SAN JOSE DEL GUAVIARE,116,341601150,153845000,2013,CAÑA PANELERA,PERMANENTE,9.0,0.4011627906976744,590,2
BOLIVAR,EL CARMEN DE BOLIVAR,16,76935000,20084005,2013,PLATANO,PERMANENTE,10.0,0.75125,733,0
NORTE DE SANTANDER,EL TARRA,52,192192000,188015100,2014,YUCA,ANUAL,14.0,1.0,212,0
CAUCA,CORINTO,28,0,0,2015,YUCA,ANUAL,11.5,1.0,79,0
TOLIMA,RIOBLANCO,72,218713500,222804000,2014,CAÑA PANELERA,PERMANENTE,8.5,0.9705882352941176,148,0
META,EL CALVARIO,44,135520000,45315000,2014,TOMATE DE ARBOL,PERMANENTE,25.0,0.8214285714285714,302,0
ATLANTICO,CANDELARIA,0,147342,7508,2012,PATILLA,TRANSITORIO,4.0,0.4642857142857143,917,2
HUILA,SANTA MARIA,52,158899000,32630000,2014,GRANADILLA,PERMANENTE,16.0,0.6346153846153846,328,0
CAUCA,"SANTANDER DE QUILICHAO, TORIBÍO",16,410400000,189208102,2016,TOMATE,TRANSITORIO,33.21751811594203,0.9280274319951272,929,0
GUAINIA,INIRIDA,56,172471480,31295600,2014,ARAZA,PERMANENTE,11.0,0.8,344,0
NARIÃ‘O,TUMACO,428,1513836000,1900774500,2013,PALMITO,PERMANENTE,12.0,1.0,545,1
TOLIMA,LERIDA,32,94320000,62208000,2013,ARROZ,TRANSITORIO,7.050000000000001,1.0,506,0
VALLE DEL CAUCA,TRUJILLO,32,98560000,80419000,2014,CAÑA AZUCARERA,PERMANENTE,81.31,0.8559322033898306,133,0
NARIÃ‘O,LA FLORIDA,228,639034796,446813274,2013,TOMATE DE ARBOL,PERMANENTE,7.0,1.0,552,3
MAGDALENA,GUAMAL,44,135511400,56554875,2014,YUCA,ANUAL,7.0,0.9174311926605505,311,0
SANTANDER,EL CARMEN DE CHUCURÍ,0,0,0,2013,PLATANO,PERMANENTE,9.583253424657535,0.8004189840519335,1002,0
NARIÃ‘O,CUMBAL,80,61707000,61930000,2013,REPOLLO,TRANSITORIO,24.5,1.0,567,0
META,MESETAS,40,500000000,106600000,2017,CAFE,PERMANENTE,1.35,0.8667163067758749,0,0
LA GUAJIRA,RIOHACHA,48,177209910,61280000,2014,MALANGA,ANUAL,8.0,0.8666666666666667,316,0
BOLIVAR,EL CARMEN DE BOLIVAR,0,0,0,2013,PLATANO,PERMANENTE,10.0,0.75125,711,0
NARIÃ‘O,PUPIALES,104,48540000,21790000,2013,HABA,TRANSITORIO,7.0,0.8,549,0
CHOCO,NUQUI,72,301434000,137632000,2013,MALANGA,ANUAL,6.0,0.75,617,0
QUINDIO,LA TEBAIDA,0,0,0,2013,CAÑA AZUCARERA,PERMANENTE,95.68,0.6775244299674267,534,0
VALLE DEL CAUCA,BUENAVENTURA,104,367580200,196560000,2013,COCO,PERMANENTE,12.0,1.0,479,0
TOLIMA,CHAPARRAL,0,435225600,79358270,2012,TOMATE DE ARBOL,PERMANENTE,20.0,0.8928571428571429,778,0
SUCRE,OVEJAS,68,251323468,79872000,2014,YUCA,ANUAL,10.0,0.6,172,0
VICHADA,SANTA ROSALIA,40,122071619,58382500,2014,PLATANO,PERMANENTE,5.0,0.8461538461538461,125,0
BOLIVAR,EL CARMEN DE BOLIVAR,108,399108905,186574750,2014,AJI,TRANSITORIO,8.0,0.8500000000000001,424,0
BOLIVAR,EL CARMEN DE BOLIVAR,44,162623999,62548200,2014,AJI,TRANSITORIO,8.0,0.8500000000000001,422,0
NARIÃ‘O,GUACHUCAL,112,61707000,61930000,2013,PAPA,TRANSITORIO,16.0,0.9493760635280772,554,0
BOLIVAR,EL CARMEN DE BOLIVAR,0,748044000,221088500,2012,AJI,TRANSITORIO,8.0,0.8416666666666667,909,0
CAUCA,CALDONO,16,51520000,8827200,2015,CAÑA PANELERA,PERMANENTE,4.2,0.8511627906976744,90,0
SANTANDER,"CURITÍ, CABRERA, JORDÁN, CEPITA, GALÁN",128,2000000000,391568000,2017,TANGELO,PERMANENTE,10.375,0.34659204750368844,945,1
SANTANDER,CARCASI,80,246087600,67625000,2014,PAPA,TRANSITORIO,24.5,0.9515274698201528,181,0
NARIÃ‘O,CUMBAL,36,69000000,79130000,2014,PAPA,TRANSITORIO,16.5,0.969047619047619,274,0
BOYACA,SAN MATEO,0,285900024,108000036,2012,TRIGO,TRANSITORIO,1.25,1.0,901,0
CESAR,BECERRIL,32,80000000,45855000,2015,MALANGA,ANUAL,6.0,1.0,69,0
META,SAN JUAN DE ARAMA,24,73920000,44600000,2014,PLATANO,PERMANENTE,17.0,0.875,291,0
VALLE DEL CAUCA,TULUA,12,44352000,32870000,2014,PAPA,TRANSITORIO,17.0,1.0,131,0
META,EL CASTILLO,28,103488000,53816000,2014,YUCA,ANUAL,15.0,1.0,300,0
LA GUAJIRA,DIBULLA,184,650601450,444415000,2013,YUCA,ANUAL,12.0,0.9090909090909091,583,3
HUILA,TIMANA,232,714512000,167400000,2014,MARACUYA,PERMANENTE,17.0,0.75,326,3
TOLIMA,SAN ANTONIO,136,413213900,411771280,2014,LULO,PERMANENTE,3.0,0.8,144,0
BOLIVAR,EL CARMEN DE BOLIVAR,56,206695525,43553500,2014,AJI,TRANSITORIO,8.0,0.8500000000000001,425,0
LA GUAJIRA,DIBULLA,16,89591000,66603333,2013,YUCA,ANUAL,12.0,0.9090909090909091,584,0
VALLE DEL CAUCA,BUGALAGRANDE,28,103487997,69127000,2014,MARACUYA,PERMANENTE,14.0,1.0,135,0
CAUCA,CAJIBIO,0,61967500,11320000,2013,LULO,PERMANENTE,6.0,1.0,667,0
TOLIMA,CHAPARRAL,0,36930000,13200000,2014,ARRACACHA,ANUAL,8.0,1.0,164,0
PUTUMAYO,VILLAGARZON,60,0,0,2015,PIÑA,PERMANENTE,27.7,1.0,28,0
MAGDALENA,PLATO,160,1500000000,336000000,2017,ÑAME,ANUAL,7.466666666666667,0.7693296808716253,936,1
PUTUMAYO,PUERTO GUZMAN,48,147806000,70947500,2014,ARROZ,TRANSITORIO,3.5,0.8730897009966777,193,0
VALLE DEL CAUCA,GUADALAJARA DE BUGA,52,0,0,2014,AGUACATE,PERMANENTE,9.963549160671459,0.7718659885654117,998,0
ATLANTICO,JUAN DE ACOSTA,40,117182093,77176800,2013,CIRUELA,PERMANENTE,6.0,1.0,750,0
SUCRE,OVEJAS,104,384383999,184606000,2014,YUCA,ANUAL,10.0,0.6,169,0
VALLE DEL CAUCA,ARGELIA,28,84321404,37745475,2013,BANANO,PERMANENTE,30.0,0.8578199052132701,490,0
VALLE DEL CAUCA,BUGALAGRANDE,32,118272000,83091000,2014,MARACUYA,PERMANENTE,14.0,1.0,140,0
SUCRE,OVEJAS,12,44351421,17961000,2014,YUCA,ANUAL,10.0,0.6,173,0
CALDAS,RISARALDA,50,500000000,130250000,2016,CAFE,PERMANENTE,1.35,0.7267794446217682,6,0
NORTE DE SANTANDER,CHITAGA,0,804713577,503724925,2012,REPOLLO,TRANSITORIO,15.0,0.75,804,0
CESAR,CHIMICHAGUA,0,0,0,2013,MAIZ,TRANSITORIO,1.5,0.9090909090909091,636,0
CAUCA,SUAREZ,8,25760000,4790000,2015,LULO,PERMANENTE,11.0,0.40625,73,2
BOLIVAR,SAN JACINTO,44,155257444,99089208,2013,AGUACATE,PERMANENTE,12.0,1.0,688,0
VALLE DEL CAUCA,BUENAVENTURA,262,2801926566,956060000,2019,COCO,PERMANENTE,11.948333333333332,0.9923325663814614,984,1
NARIÃ‘O,PUPIALES,52,67000000,78800000,2014,UCHUVA,PERMANENTE,6.0,1.0,238,0
TOLIMA,SAN ANTONIO,36,110842950,102900100,2014,LULO,PERMANENTE,3.0,0.8,145,0
SANTANDER,BARRANCABERMEJA,76,271811480,12246000,2012,MAIZ,TRANSITORIO,2.5,0.9764771107239031,797,0
NARIÃ‘O,SAN LORENZO,40,147820000,28680000,2014,AGUACATE,PERMANENTE,4.0,0.7222222222222222,234,0
NARIÃ‘O,YACUANQUER,40,82500000,73586000,2014,FRESA,PERMANENTE,5.0,1.0,220,0
VALLE DEL CAUCA,BUENAVENTURA,116,410292000,219240000,2013,COCO,PERMANENTE,12.0,1.0,477,0
LA GUAJIRA,DIBULLA,0,312800400,22401600,2012,BANANO,PERMANENTE,12.0,0.6696428571428571,838,0
VALLE DEL CAUCA,TULUA,32,118268236,14762500,2014,PAPA,TRANSITORIO,17.0,1.0,132,0
MAGDALENA,SAN SEBASTIAN BUENAV,0,0,0,2014,ARROZ,TRANSITORIO,4.978828828828828,0.9281871745688999,999,0
LA GUAJIRA,BARRANCAS,0,326398298,19848000,2012,MALANGA,ANUAL,8.0,0.7714285714285715,843,2
RISARALDA,APIA,24,73920000,51207500,2014,TOMATE DE ARBOL,PERMANENTE,12.0,0.8,185,0
NORTE DE SANTANDER,TEORAMA,76,293664000,245185500,2015,NARANJA,PERMANENTE,10.0,1.0,41,0
VALLE DEL CAUCA,GUADALAJARA DE BUGA,80,282955000,53310000,2013,AGUACATE,PERMANENTE,9.963549160671459,0.7718659885654117,1000,0
BOLIVAR,VILLANUEVA,40,128785000,59715000,2015,PIÑA,PERMANENTE,30.0,1.0,108,0
CUNDINAMARCA,CABRERA,0,362688000,449543027,2012,GRANADILLA,PERMANENTE,7.0,0.8571428571428571,871,0
NORTE DE SANTANDER,EL TARRA,12,46368000,12450000,2015,FRIJOL,TRANSITORIO,1.5,1.0,56,0
SANTANDER,CARCASI,128,377231920,305599920,2013,TRIGO,TRANSITORIO,1.0,1.0,530,0
CAUCA,TORIBÍO,20,197000000,71010000,2016,TOMATE,TRANSITORIO,33.21751811594203,0.9280274319951272,923,0
CUNDINAMARCA,PACHO,8,28056414,6690450,2013,PAPA,TRANSITORIO,13.5,0.7367121848739496,603,2
CUNDINAMARCA,PACHO,0,0,0,2012,TOMATE,TRANSITORIO,85.0,1.0,866,0
TOLIMA,IBAGUE,4,15456000,2940000,2015,YUCA,ANUAL,12.0,0.8421052631578947,24,0
CAUCA,PIENDAMO,48,145000000,32904000,2013,YUCA,ANUAL,10.0,0.1,651,2
ANTIOQUIA,NARIÑO,0,0,0,2014,PLATANO,PERMANENTE,4.0,1.0,448,0
QUINDIO,MONTENEGRO,32,113170695,88935000,2013,BANANO,PERMANENTE,21.87,0.9142857142857143,533,0
CHOCO,ACANDI,220,836606460,569096875,2013,ÑAME,ANUAL,9.0,1.0,623,3
ANTIOQUIA,SAN ROQUE,88,262948800,249953200,2013,CAÑA PANELERA,PERMANENTE,4.9,0.9993436166721366,753,0
CHOCO,BAGADÓ,72,278014950,134900000,2017,PLATANO,PERMANENTE,6.472403314917125,0.8317325445740518,932,0
GUAINIA,INIRIDA,52,160143050,37542700,2014,ARAZA,PERMANENTE,11.0,0.8,338,0
NORTE DE SANTANDER,OCAÑA,20,77280000,24750000,2015,PEPINO COHOMBRO,TRANSITORIO,25.0,1.0,51,0
CAUCA,ALMAGUER,0,656175377,92855000,2013,YUCA,ANUAL,10.0,0.875,668,0
SUCRE,OVEJAS,32,165050760,69346250,2013,PLATANO,PERMANENTE,6.5,0.8461538461538461,518,0
CAUCA,"SANTANDER DE QUILICHAO, TORIBÍO",16,410400000,189208102,2016,TOMATE,TRANSITORIO,33.21751811594203,0.9280274319951272,926,0
CESAR,AGUSTIN CODAZZI,40,141471328,24012300,2013,MALANGA,ANUAL,8.0,0.6666666666666666,637,2
NARIÃ‘O,GUACHUCAL,64,54000000,77100000,2014,PAPA,TRANSITORIO,16.0,0.9693650793650793,264,0
PUTUMAYO,MOCOA,76,268812000,54999000,2013,YUCA,ANUAL,8.5,0.9310344827586207,539,0
BOLIVAR,EL CARMEN DE BOLIVAR,32,94317138,70600000,2013,PLATANO,PERMANENTE,10.0,0.75125,715,0
BOLIVAR,"CARMEN DE BOLÍVAR, SAN JUAN NEPOMUCENO Y SAN JACINTO",133,2143671000,296640000,2017,MAIZ,TRANSITORIO,1.5274977497749782,0.7767031844481462,959,1
TOLIMA,LÍBANO,30,200000000,106200000,2017,CAFE,PERMANENTE,0.9529046563192901,0.8537188919852686,952,0
CAQUETA,CARTAGENA DEL CHAIRA,0,108806000,74375000,2012,PIÑA,PERMANENTE,6.0,0.6666666666666666,894,2
ANTIOQUIA,CAREPA,44,162623175,124795000,2014,MARACUYA,PERMANENTE,15.0,1.0,449,0
NORTE DE SANTANDER,LA ESPERANZA,54,373952000,307280000,2017,PLATANO,PERMANENTE,10.0,1.0,18,0
CALDAS,LA DORADA,0,136008000,142515000,2012,YUCA,ANUAL,8.0,0.7,897,0
VALLE DEL CAUCA,ARGELIA,12,34877800,23773000,2013,BANANO,PERMANENTE,30.0,0.8578199052132701,485,0
NARIÃ‘O,CUMBAL,72,61707762,78830000,2013,REPOLLO,TRANSITORIO,24.5,1.0,570,0
ATLANTICO,TUBARÁ,0,143911620,29273640,2012,MAIZ,TRANSITORIO,1.2431861804222644,0.724766555061376,1007,2
CHOCO,RIOSUCIO,84,310461225,115657500,2014,YUCA,ANUAL,15.0,1.0,367,0
CAUCA,CORINTO,12,38640000,7742880,2015,YUCA,ANUAL,11.5,1.0,83,0
NORTE DE SANTANDER,CONVENCION,76,293664000,196626000,2015,PEPINO COHOMBRO,TRANSITORIO,25.0,1.0,61,0
ARAUCA,ARAUQUITA,24,73919972,45190200,2014,YUCA,ANUAL,20.0,0.9473838918283363,439,0
NARIÃ‘O,CUMBAL,40,43980000,78400000,2014,PAPA,TRANSITORIO,16.5,0.969047619047619,272,0
NARIÃ‘O,CORDOBA,48,57000000,78530000,2014,TOMATE DE ARBOL,PERMANENTE,12.0,1.0,285,0
CHOCO,TADO,232,0,0,2014,YUCA,ANUAL,5.0,1.0,360,3
CORDOBA,MOÑITOS,36,110879500,34768000,2014,PLATANO,PERMANENTE,8.6,0.9801099611901681,354,0
VICHADA,PUERTO CARRENO,80,246400000,54828220,2014,YUCA,ANUAL,11.68222222222222,0.8945903308989495,995,0
NARIÃ‘O,CUMBAL,84,40200000,78800000,2014,PAPA,TRANSITORIO,16.5,0.969047619047619,278,0
HUILA,PITALITO,70,232852000,1225999000,2017,CAFE,PERMANENTE,1.11,0.836232980332829,12,1
RISARALDA,GUATICA,44,135239375,46312500,2014,BANANO,PERMANENTE,26.0,0.9016393442622951,182,0
CHOCO,RIOSUCIO,24,98559200,48250000,2014,YUCA,ANUAL,15.0,1.0,368,0
TOLIMA,VENADILLO,20,58879200,39075000,2013,YUCA,ANUAL,10.0,0.8,494,0
NORTE DE SANTANDER,TIBU,0,68000000,23781000,2012,CAÑA PANELERA,PERMANENTE,3.3,0.9224137931034483,801,0
NARIÃ‘O,TUQUERRES,32,70000000,77360000,2014,REPOLLO,TRANSITORIO,23.0,1.0,223,0
META,SAN JUAN DE ARAMA,40,141479468,24971133,2013,YUCA,ANUAL,18.0,0.5833333333333334,575,0
BOLIVAR,EL CARMEN DE BOLIVAR,28,99022540,40550000,2013,PLATANO,PERMANENTE,10.0,0.75125,704,0
HUILA,PAICOL,80,235600000,23980000,2013,GRANADILLA,PERMANENTE,9.0,0.8571428571428571,587,0
NARIÃ‘O,SAPUYES,68,48540000,21790000,2013,CEBOLLA DE RAMA,TRANSITORIO,8.0,1.0,547,0
CALDAS,MANZANARES,16,56558459,30560000,2013,YUCA,ANUAL,12.0,1.0,676,0
ANTIOQUIA,GIRALDO,32,94295352,64008000,2013,CEBOLLA DE RAMA,TRANSITORIO,15.0,0.8181818181818182,756,0
SUCRE,OVEJAS,24,88703842,35658000,2014,YUCA,ANUAL,10.0,0.6,176,0
CASANARE,PAZ DE ARIPORO,20,56670700,18625000,2013,PLATANO,PERMANENTE,8.0,0.5951417004048583,670,2
CESAR,PUEBLO BELLO,0,39830600,33222000,2013,NARANJA,PERMANENTE,5.5,0.5955056179775281,632,2
GUAVIARE,SAN JOSE DEL GUAVIARE,52,153270000,127270000,2013,CAÑA PANELERA,PERMANENTE,9.0,0.4011627906976744,589,2
SANTANDER,SAN ANDRES,56,165059000,110101230,2013,TOMATE,TRANSITORIO,26.5,0.96,522,0
CASANARE,TAMARA,24,88702360,33632817,2014,PLATANO,PERMANENTE,10.0,0.9166666666666666,393,0
TOLIMA,CHAPARRAL,36,110817000,42561000,2014,ARRACACHA,ANUAL,8.0,1.0,163,0
NARIÃ‘O,LOS ANDES,40,144858600,16124000,2014,YUCA,ANUAL,2.3,0.3076923076923077,248,2
CAUCA,TIMBIQUI,0,300000152,85476000,2013,CAÑA PANELERA,PERMANENTE,4.5,0.8026315789473685,639,0
